Orig.,4Kids,No. in season,4Kids title / Funimation title Original Japanese title,Directed by,Written by,Original release date,English air date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
116,84,24,"""Trading Faces"" ""Transformed into Nami! Bon Clay's Rapid-Fire Ballet Kenpo!"" Transliteration: ""Nami ni henshin! Bonkurē renpatsu baree Kenpō"" (Japanese: ナミに変身!ボンクレ-連発バレエ拳法)",Ken Koyama,Michiru Shimada,"June 23, 2002[220]","March 24, 2007[221][222]",,,,,
117,85,25,"""The Weather Forcer"" ""Nami's Cyclone Advisory! Clima Takt Burst!"" Transliteration: ""Nami no senpū chūihō! Kurimatakuto sakuretsu"" (Japanese: ナミの旋風注意報!クリマタクト炸裂)",Yoko Ikeda,Michiru Shimada,"June 30, 2002[223]","April 14, 2007[224][225]",,,,,
118,86,26,"""Bad Girls"" ""Secret Passed Down in the Royal Family! The Ancient Weapon Pluton!"" Transliteration: ""Ōke ni tsuwaru himitsu! Kodai heiki Puruton"" (Japanese: 王家に伝わる秘密!古代兵器プルトン)",Yuji Endo,Michiru Shimada,"July 14, 2002[226]","April 21, 2007[227][228]",,,,,
119,87,27,"""Zoro vs. Mr. One"" ""Secret of Powerful Swordplay! Ability to Cut Steel and the Rhythm Things Have!"" Transliteration: ""Gōken no kyokui! Kōtetsu o kiru chikara to mono no kokyū"" (Japanese: 豪剣の極意!鋼鉄を斬る力と物の呼吸)",Munehisa Sakai,Junki Takegami,"July 21, 2002[229]","April 28, 2007[230][231]",,,,,
120,88,28,"""Hook, Lie & Sinker"" ""The Battle is Over! Koza Raises the White Flag!"" Transliteration: ""Tatakai wa owatta! Kōza ga ageta shiroi hata"" (Japanese: 戦いは終わった!コーザが掲げた白い旗)",Hidehiko Kadota,Junki Takegami,"August 4, 2002[232]","May 5, 2007[233][234]",,,,,
121,89,29,"""His Fatal Flaw"" ""Where Vivi's Voice Gets Heard! The Hero Descends!"" Transliteration: ""Bibi no koe no yukue! Hīrō wa maiorita!"" (Japanese: ビビの声の行方!英雄は舞い降りた!)",Harume Kosaka,Junki Takegami,"August 11, 2002[235]","May 12, 2007[236][237]",,,,,
122,90,30,"""Live & Let Dry"" ""Sand Croc and Water Luffy! The Second Round of the Duel!"" Transliteration: ""Suna wani to mizu Rufi! Kettō dai ni raundo"" (Japanese: 砂ワニと水ルフィ!決闘第2ラウンド)",Directed by : Junichi Fujise Storyboarded by : Kenji Yokoyama,Michiru Shimada,"August 18, 2002[238][239]","May 19, 2007[240][241]",,,,,
123,91,31,"""The Crypt Script"" ""That Looks Croc-ish! Luffy, Run to the Royal Tomb!"" Transliteration: ""Wanippoi! Ōke no haka e hashire Rufi!"" (Japanese: ワニっぽい!王家の墓へ走れルフィ!)",Junji Shimizu,Michiru Shimada,"August 25, 2002[242]","May 26, 2007[243][244]",,,,,
124,92,32,"""The Sweat Threat"" ""The Nightmare Draws Near! This is the Sand-Sand Clan's Secret Base!"" Transliteration: ""Akumu no toki semaru! Koko wa Sunasunadan himitsu kichi"" (Japanese: 悪夢の時迫る!ここは砂砂団秘密基地)",Yuji Endo,Michiru Shimada,"September 1, 2002[245]","June 9, 2007[246][247]",,,,,
125,93,33,"""The Bomb in the Belfry"" ""Magnificent Wings! My Name is Pell, Guardian Deity of the Country!"" Transliteration: ""Idai naru tsubame! Wa ga na wa kuno no shigoshin Peru"" (Japanese: 偉大なる翼!我が名は国の守護神ペル)",Hidehiko Kadota,Yoshiyuki Suga,"September 8, 2002[248]","June 16, 2007[249][250]",,,,,
126,94,34,"""Sandbagged"" ""I Will Surpass You! Rain Falls in Alabasta!"" Transliteration: ""Koete iku! Arabasuta ni ame ga furu!"" (Japanese: 越えていく!アラバスタに雨が降る!)",Munehisa Sakai,Michiru Shimada,"September 15, 2002[251]","June 23, 2007[252][253]",,,,,
127,95,35,"""All the King's Men"" ""A Farewell to Arms! Pirates and Different Ideas of Justice!"" Transliteration: ""Buki yo saraba! Kaizoku to ikutsu ka no seigi"" (Japanese: 武器よさらば!海賊といくつかの正義)",Harume Kosaka,Yoshiyuki Suga,"October 6, 2002[n 9][254]","June 30, 2007[255]",,,,,
128,96,36,"""The Turn of the Two"" ""Pirates' Banquet and Operation Escape from Alabasta!"" Transliteration: ""Kaizokutachi no utage to Arabasuta dasshutsu sakusen!"" (Japanese: 海賊たちの宴とアラバスタ脱出作戦!)",Junji Shimizu,Yoshiyuki Suga,"October 6, 2002[n 9][254]","July 14, 2007[256]",,,,,
129,97,37,"""Pirate Vivi?"" ""It All Started On That Day! Vivi Tells the Story of Her Adventure!"" Transliteration: ""Hajimaru wa ano hi! Bibi ga kataru bōkendan"" (Japanese: 始まりはあの日!ビビが語る冒険譚)",Daisuke Nishio,Yoshiyuki Suga,"October 20, 2002[257][258]","July 21, 2007[259][260]",,,,,
130,98,38,"""Stowaway"" ""Scent of Danger! The Seventh Member is Nico Robin!"" Transliteration: ""Kiken na kaori! Shichininme wa Niko Robin!"" (Japanese: 危険な香り!七人目はニコ·ロビン!)",Yoko Ikeda,Yoshiyuki Suga,"October 27, 2002[261]","July 28, 2007[262][263]",,,,,
