No. overall,No. in season,Title,Directed by,Written by,Original release date,English air date,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,No. overall [n 1],Title [n 8],Original release date [n 3],Unnamed: 6,No.,Unnamed: 3,Volume,Volume.1,Volume.2,Episodes,Release date,Ref.,"('Volume', 'Volume')","('Volume', 'Volume.1')","('Volume', 'Volume.2')","('Episodes', 'Episodes')","('Release date', 'USA')","('Release date', 'UK')","('Release date', 'Australia')","('ISBN', 'ISBN')","('Ref.', 'Ref.')",vteOne Piece by Eiichiro Oda,vteOne Piece by Eiichiro Oda.1,vteOne Piece by Eiichiro Oda.2,0,1
481,25,"""Ace Rescued! Whitebeard's Final Order!"" Transliteration: ""Ēsu Kyūshutsu! Shirohige Saigo no Senchō Meirei!"" (Japanese: エース救出! 白ひげ最後の船長命令!)",Yutaka Nakashima,Hirohiko Kamisaka,"December 26, 2010[230]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,26,"""The Power That Can Burn Even Fire! Akainu's Ruthless Pursuit!"" Transliteration: ""Hi o mo Yakitsukusu Chikara – Akainu Hijō no Tsuigeki"" (Japanese: 火をも焼き尽くす能力 赤犬非情の追撃)",Yoshihiro Ueda,Yoshiyuki Suga,"January 9, 2011[231]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,27,"""Looking for the Answer! Fire Fist Ace Dies on the Battlefield!"" Transliteration: ""Kotae o Sagashite – Hiken no Ēsu Senjō ni Shisu"" (Japanese: 答えを探して 火拳のエース戦場に死す)",Hiroaki Miyamoto,Hirohiko Kamisaka,"January 16, 2011[232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,28,"""The Navy Headquarters Falls! Whitebeard's Unspeakable Wrath!"" Transliteration: ""Kaigun Honbu Hōkai! Shirohige Kotobanaki Ikari!"" (Japanese: 海軍本部崩壊! 白ひげ言葉なき怒り!)",Aya Komaki,Hitoshi Tanaka,"January 23, 2011[233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,29,"""Ending the Matter! Whitebeard vs. The Blackbeard Pirates!"" Transliteration: ""Kejime o Tsukeru – Shirohige VS Kurohige Kaizoku-dan"" (Japanese: ケジメをつける 白ひげVS黒ひげ海賊団)",Katsumi Tokoro,Hirohiko Kamisaka,"January 30, 2011[234]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,30,"""The Show Begins! Blackbeard's Plot is Revealed!"" Transliteration: ""Shō no Kaimaku – Akasareta Kurohige no Takurami"" (Japanese: ショーの開幕 明かされた黒ひげの企み)",Naoyuki Itō,Yoshiyuki Suga,"February 6, 2011[235]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,31,"""The Insatiable Akainu! Lava Fists Pummel Luffy!"" Transliteration: ""Akainu no Shūnen! Rufi o Osou Maguma no Kobushi"" (Japanese: 赤犬の執念! ルフィを襲うマグマの拳)",Gō Koga,Hitoshi Tanaka,"February 13, 2011[236]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,32,"""The Desperate Scream! Courageous Moments That Will Change the Future"" Transliteration: ""Hisshi no Sakebi – Unmei o Kaeru Yūki aru Sūbyō"" (Japanese: 必死の叫び 運命を変える勇気ある数秒)",Yoshihiro Ueda,Yoshiyuki Suga,"February 20, 2011[237]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,33,"""Here Comes Shanks! The War of the Best is Finally Over!"" Transliteration: ""Shankusu Kenzan! Chōjō Sensō Tsuini Shūketsu"" (Japanese: シャンクス見参! 頂上戦争ついに終結)",Yutaka Nakashima,Hitoshi Tanaka,"March 6, 2011[238]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,,,,Post-War,,,,,,,,,,,,,,,,,,,,,,
490,34,"""Mighty Leaders Face Each Other Down! Heralding the ""New Era""!"" Transliteration: ""Gun'yūkakkyosu! ""Atarashī Jidai"" no Hajimari!"" (Japanese: 群雄割拠す! ""新しい時代""の始まり!)",Directed by : Takahiro Imamura Storyboarded by : Naotoshi Shida,Hirohiko Kamisaka,"March 20, 2011[239]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,35,"""Landing at the Maiden Island! The Harsh Reality Falls Upon Luffy!"" Transliteration: ""Nyōgashima Jōriku – Rufi o Semeru Kakoku na Genjitsu"" (Japanese: 女ヶ島上陸 ルフィを責める過酷な現実)",Directed by : Makoto Sonoda Storyboarded by : Eisaku Inoue,Yoshiyuki Suga,"March 27, 2011[240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,,,,Toriko x One Piece Collaboration Special,,,,,,,,,,,,,,,,,,,,,,
492,36,"""The Strongest Tag-Team! Luffy and Toriko's Hard Struggle!"" Transliteration: ""Saikyō Taggu! Funtō, Rufi to Toriko!"" (Japanese: 最強タッグ! 奮闘、ルフィとトリコ!)",Naoyuki Itō,Isao Murayama,"April 3, 2011[241][n 9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,,,,Post-War,,,,,,,,,,,,,,,,,,,,,,
493,37,"""Luffy and Ace! The Story of How the Brothers Met!"" Transliteration: ""Rufi to Ēsu – Kyōdai no Deai no Monogatari!"" (Japanese: ルフィとエース 兄弟の出会いの物語!)",Aya Komaki,Hitoshi Tanaka,"April 10, 2011[243]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,38,"""Here Comes Sabo! The Boy at the Gray Terminal!"" Transliteration: ""Sabo Tōjō! Gurei Tāminaru no Shōnen"" (Japanese: サボ登場! 不確かな物の終着駅の少年)",Katsumi Tokoro,Hitoshi Tanaka,"April 17, 2011[244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,39,"""I Won't Run! Ace's Desperate Rescue Operation!"" Transliteration: ""Ore wa Nigenai – Ēsu Kesshi no Kyūshutsu Sakusen"" (Japanese: おれは逃げない エース決死の救出作戦)",Yoshihiro Ueda,Hirohiko Kamisaka,"April 24, 2011[245]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,40,"""To The Sea Someday! The Pledge of the Three Brats!"" Transliteration: ""Itsuka Umi e! San'nin no Akudō Chikai no Sakazuki!"" (Japanese: いつか海へ! 三人の悪童ちかいの盃!)",Yutaka Nakashima,Yoshiyuki Suga,"May 1, 2011[246]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,41,"""Leaving the Dadan Family for Good?! The Kids' Hideout Has Been Built!"" Transliteration: ""Dadan Ikka to no Wakare!? Kansei! Himitsu Kichi"" (Japanese: ダダン一家との別れ!? 完成! 秘密基地)",Gō Koga,Hitoshi Tanaka,"May 8, 2011[247]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,42,"""Luffy Becoming an Apprentice?! A Man Who Fought Against the King of the Pirates!"" Transliteration: ""Rufi Deshi-iri!? Kaizoku-Ō to Tatakatta Otoko!"" (Japanese: ルフィ弟子入り!?　海賊王と戦った男!)",Takahiro Imamura,Hirohiko Kamisaka,"May 15, 2011[248]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,43,"""The Battle against the Big Tiger! Who is Going to be Captain?!"" Transliteration: ""Ōtora to no Kessen! Senchō ni Naru no wa Dare da!"" (Japanese: 大虎との決戦! 船長になるのは誰だ!)",Hiroaki Miyamoto,Hirohiko Kamisaka,"May 22, 2011[249]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,44,"""Freedom Taken Away! The Nobles' Plot Closing in on the Brothers!"" Transliteration: ""Ubawareta Jiyū! Sankyōdai ni Semaru Kizoku no Wana"" (Japanese: 奪われた自由! 三兄弟に迫る貴族の罠)",Makoto Sonoda,Yoshiyuki Suga,"May 29, 2011[250]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,45,"""The Fire Has Been Set! The Gray Terminal in Crisis!"" Transliteration: ""Hanatareta Honō – Gurei Tāminaru no Kiki"" (Japanese: 放たれた炎 グレイ・ターミナルの危機)",Yoshihiro Ueda,Hitoshi Tanaka,"June 5, 2011[251]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,46,"""Where Can Freedom be Found? A Sad Departure of a Boy!"" Transliteration: ""Jiyū wa Doko ni Aru? Shōnen no Kanashiki Funade"" (Japanese: 自由はどこにある? 少年の悲しき船出)",Katsumi Tokoro,Hirohiko Kamisaka,"June 12, 2011[252]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,47,"""Take Good Care of Him! A Letter from the Brother!"" Transliteration: ""Yoroshiku Tanomu! Kyōdai kara Todoita Tegami!"" (Japanese: よろしく頼む! 兄弟から届いた手紙!)",Aya Komaki,Yoshiyuki Suga,"June 19, 2011[253]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,48,"""To Live Up to the Promise! Departures of Their Own!"" Transliteration: ""Yakusoku o Hatasu Tame – Sorezore no Tabidachi!"" (Japanese: 約束を果たすため それぞれの旅立ち!)",Yutaka Nakashima,Hitoshi Tanaka,"June 26, 2011[254]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,49,"""I Want to See Them! Luffy's Mournful Cry!"" Transliteration: ""Aitsura ni Aitē! Rufi Namida no Sakebi"" (Japanese: あいつらに会いてェ! ルフィ涙の叫び)",Yoshihiro Ueda,Yoshiyuki Suga,"July 3, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,50,"""Straw Hats in Shock! The Bad News Has Reached Them!"" Transliteration: ""Mugiwara no Ichimi Gekishin! Motarasareta Kyōhō"" (Japanese: 麦わらの一味激震! もたらされた凶報)",Gō Koga,Hitoshi Tanaka,"July 10, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,51,"""Reunited with Dark King Rayleigh! Decision Time for Luffy!"" Transliteration: ""Meiō Reirī to no Saikai – Rufi Ketsudan no Toki"" (Japanese: 冥王レイリーとの再会 ルフィ決断の時)",Takahiro Imamura,Tomohiro Nakayama,"July 17, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,52,"""Back to Our Captain! A Jail Break at the Sky Island and the Incident on the Winter Island!"" Transliteration: ""Senchō no Moto e – Sorajima no Datsugoku to Fuyujima no Jiken"" (Japanese: 船長のもとへ 空島の脱獄と冬島の事件)",Katsumi Tokoro,Hirohiko Kamisaka,"July 31, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,53,"""Encounter! The Great Swordsman Mihawk! Zoro's Self-Willed Deadly Struggle!"" Transliteration: ""Sesshoku! Daikengō Mihōku – Zoro Iji no Shitō"" (Japanese: 接触! 大剣豪ミホーク ゾロ意地の死闘)",Yoshihiro Ueda,Yoshiyuki Suga,"August 7, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,54,"""A Disaster for Sanji! The Queen's Return to the Kingdom!"" Transliteration: ""Sanji no Junan – Ōkoku e to Kikanshita Joō!"" (Japanese: サンジの受難 王国へと帰還した女王!)",Yoshihiro Ueda,Tomohiro Nakayama,"August 14, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,55,"""Unexpected Relanding! Luffy, to Marineford!"" Transliteration: ""Masaka no Saijōriku! Rufi Marinfōdo e!"" (Japanese: まさかの再上陸! ルフィ海軍本部へ!)",Makoto Sonoda,Hitoshi Tanaka,"August 21, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,56,"""With Hopes It Will Reach My Friends! Big News Spreading Fast!"" Transliteration: ""Nakama ni Todoke – Kakemeguru Dai-nyūsu!"" (Japanese: 仲間に届け かけめぐる大ニュース!)",Yutaka Nakashima,Hirohiko Kamisaka,"August 28, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,57,"""Pirates Get on the Move! Astounding New World!"" Transliteration: ""Ugokidasu Kaizoku-tachi! Kyōtendōchi no Shinsekai"" (Japanese: 動き出す海賊たち! 驚天動地の新世界)",Hiroyuki Satō,Yoshiyuki Suga,"September 4, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,58,"""Living through Hell! Sanji's Fight for His Manhood!"" Transliteration: ""Jigoku o Ikinuke – Sanji Otoko o Kaketa Shōbu"" (Japanese: 地獄を生き抜け サンジ男をかけた勝負)",Aya Komaki,Hitoshi Tanaka,"September 11, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,59,"""I Will Get Much, Much Stronger! Zoro's Pledge to his Captain!"" Transliteration: ""Madamada Tsuyoku Naru! Zoro Senchō e no Chikai"" (Japanese: まだまだ強くなる! ゾロ船長への誓い)",Yoshihiro Ueda,Tomohiro Nakayama,"September 18, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,60,"""Luffy's Training Begins! To the Place We Promised in 2 Years!"" Transliteration: ""Rufi Shugyō Kaishi – Ninengo ni Yakusoku no Basho de"" (Japanese: ルフィ修行開始 2年後に約束の場所で)",Katsumi Tokoro,Hirohiko Kamisaka,"September 25, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"""Romance Dawn Story"" Transliteration: ""Romansu Dōn Sutōrī"" (Japanese: ロマンス ドーン ストーリー)",,,"September 21, 2008",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
,,"In search for food for his crew, Luffy arrives at a port town, defeating a pirate named Crescent Moon Gally on the way. He meets a girl named Silk in town, who was abandoned by attacking pirates as a baby and raised by the mayor, which has caused her to value the town as her ""treasure"". The villagers mistake Luffy for Gally and capture him just as the real Gally returns. Gally throws Luffy in the water and plans to destroy the town, but Silk saves him and Luffy goes after Gally. His crew arrives to help him, and with his help, he recovers the treasure for the town, gets some food, and destroys Gally's ship.",,,"In search for food for his crew, Luffy arrives at a port town, defeating a pirate named Crescent Moon Gally on the way. He meets a girl named Silk in town, who was abandoned by attacking pirates as a baby and raised by the mayor, which has caused her to value the town as her ""treasure"". The villagers mistake Luffy for Gally and capture him just as the real Gally returns. Gally throws Luffy in the water and plans to destroy the town, but Silk saves him and Luffy goes after Gally. His crew arrives to help him, and with his help, he recovers the treasure for the town, gets some food, and destroys Gally's ship.",,,,,,,,,,,,"In search for food for his crew, Luffy arrives at a port town, defeating a pirate named Crescent Moon Gally on the way. He meets a girl named Silk in town, who was abandoned by attacking pirates as a baby and raised by the mayor, which has caused her to value the town as her ""treasure"". The villagers mistake Luffy for Gally and capture him just as the real Gally returns. Gally throws Luffy in the water and plans to destroy the town, but Silk saves him and Luffy goes after Gally. His crew arrives to help him, and with his help, he recovers the treasure for the town, gets some food, and destroys Gally's ship.","In search for food for his crew, Luffy arrives at a port town, defeating a pirate named Crescent Moon Gally on the way. He meets a girl named Silk in town, who was abandoned by attacking pirates as a baby and raised by the mayor, which has caused her to value the town as her ""treasure"". The villagers mistake Luffy for Gally and capture him just as the real Gally returns. Gally throws Luffy in the water and plans to destroy the town, but Silk saves him and Luffy goes after Gally. His crew arrives to help him, and with his help, he recovers the treasure for the town, gets some food, and destroys Gally's ship.",,,,,,,,,,,,,,,,,,,,
,,"""Strong World: Episode 0"" Transliteration: ""Sutorongu Wārudo: Episōdo Zero"" (Japanese: ストロングワールド Episode 0)",,,"December 12, 2009",,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,,"The introductory chapter to the movie, Strong World, which depicts the events surrounding Gold Roger's execution.",,,"The introductory chapter to the movie, Strong World, which depicts the events surrounding Gold Roger's execution.",,,,,,,,,,,,"The introductory chapter to the movie, Strong World, which depicts the events surrounding Gold Roger's execution.","The introductory chapter to the movie, Strong World, which depicts the events surrounding Gold Roger's execution.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.01,264–266,"January 9, 2008",[255],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.02,267–269,"February 6, 2008",[256],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.03,270–272,"March 5, 2008",[257],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.04,273–275,"April 2, 2008",[258],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.05,276–278,"May 7, 2008",[259],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.06,284–286,"June 4, 2008",[260],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.07,287–289,"July 7, 2008",[261],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.08,"290, 293–294","August 6, 2008",[262],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.09,295–297,"September 3, 2008",[263],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.10,298–300,"October 1, 2008",[264],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.11,"301–302, 304","November 5, 2008",[265],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.12,305–307,"December 3, 2008",[266],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.13,308–310,"January 7, 2009",[267],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.14,311–313,"February 4, 2009",[268],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.15,314–316,"March 4, 2009",[269],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.16,317–319,"April 1, 2009",[270],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.17,320–322,"May 13, 2009",[271],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.18,323–325,"June 6, 2009",[272],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.19,326–328,"July 1, 2009",[273],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.20,329–331,"August 5, 2009",[274],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン エニエス·ロビー篇,piece.21,332–335,"September 2, 2009",[275],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.01,337–339,"October 7, 2009",[276],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.02,340–342,"November 6, 2009",[277],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.03,343–345,"December 2, 2009",[278],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.04,346–348,"January 6, 2010",[279],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.05,349–351,"February 3, 2010",[280],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.06,352–354,"March 3, 2010",[281],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.07,355–357,"April 7, 2010",[282],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.08,358–360,"May 7, 2010",[283],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.09,361–363,"June 2, 2010",[284],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.10,364–366,"July 7, 2010",[285],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.11,367–369,"August 4, 2010",[286],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.12,370–372,"September 1, 2010",[287],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.13,373–375,"October 6, 2010",[288],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.14,376–378,"November 5, 2010",[289],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10thシーズン スリラーバーク篇,piece.15,379–381,"December 12, 2010",[290],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11thシーズン シャボンディ諸島篇,piece.01,382–385,"January 7, 2011",[291],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11thシーズン シャボンディ諸島篇,piece.02,386–389,"January 7, 2011",[292],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11thシーズン シャボンディ諸島篇,piece.03,390–393,"February 2, 2011",[293],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11thシーズン シャボンディ諸島篇,piece.04,394–397,"February 2, 2011",[294],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11thシーズン シャボンディ諸島篇,piece.05,398–401,"March 2, 2011",[295],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11thシーズン シャボンディ諸島篇,piece.06,402–405,"March 2, 2011",[296],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,12thシーズン 女ヶ島篇,piece.01,408–411,"April 6, 2011",[297],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,12thシーズン 女ヶ島篇,piece.02,412–415,"April 6, 2011",[298],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,12thシーズン 女ヶ島篇,piece.03,416–418,"May 11, 2011",[299],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,12thシーズン 女ヶ島篇,piece.04,419–421,"May 11, 2011",[300],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,13thシーズン インペルダウン篇,piece.01,422–425,"June 1, 2011",[301],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,13thシーズン インペルダウン篇,piece.02,430–433,"June 1, 2011",[302],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,13thシーズン インペルダウン篇,piece.03,434–437,"July 6, 2011",[303],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,13thシーズン インペルダウン篇,piece.04,438–441,"July 6, 2011",[304],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,13thシーズン インペルダウン篇,piece.05,442–445,"August 3, 2011",[305],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,13thシーズン インペルダウン篇,piece.06,446–449,"August 3, 2011",[306],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,13thシーズン インペルダウン篇,piece.07,450–453,"September 7, 2011",[307],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,13thシーズン インペルダウン篇,piece.08,454–458,"September 7, 2011",[308],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.01,459–462,"October 5, 2011",[309],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.02,463–466,"November 2, 2011",[310],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.03,467–470,"December 7, 2011",[311],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.04,471–474,"January 11, 2012",[312],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.05,475–478,"February 1, 2012",[313],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.06,479–482,"March 3, 2012",[314],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.07,483–486,"April 4, 2012",[315],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.08,487–490,"May 9, 2012",[316],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.09,"491, 493–495","June 6, 2012",[317],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.10,496–499,"July 4, 2012",[318],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.11,500–503,"August 1, 2012",[319],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.12,504–507,"September 5, 2012",[320],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.13,508–511,"October 3, 2012",[321],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14THシーズン マリンフォード編,piece.14,512–516,"November 11, 2012",[322],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,時代劇SP｢ルフィ親分捕物帖2｣通常版,時代劇SP｢ルフィ親分捕物帖2｣通常版,"291–292, 303","August 1, 2007",[323],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9thシーズン特別篇「麦わら劇場&麦わら海賊譚」,9thシーズン特別篇「麦わら劇場&麦わら海賊譚」,279–283,"May 23, 2008",[324],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE FILM STRONG WORLD 連動特別篇　金獅子の野望,ONE PIECE FILM STRONG WORLD 連動特別篇　金獅子の野望,426–429,"July 23, 2010",[325],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE ワンピース・ヒーロースペシャル!,ONE PIECE ワンピース・ヒーロースペシャル!,"336, 492","November 21, 2011",[326],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ワンピース時代劇スペシャル『麦わらのルフィ親分捕物帖3』,ワンピース時代劇スペシャル『麦わらのルフィ親分捕物帖3』,406–407,"October 26, 2012",[327],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,トリコ×ワンピース コラボスペシャル完全版,トリコ×ワンピース コラボスペシャル完全版,"492, 542","October 26, 2012",[328],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""NICO ROBIN""","264–278, 284","July 27, 2012",[329],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""CP9""","285–290, 293–302, 304–306","July 27, 2012",[330],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""FRANKY""",307–325,"August 24, 2012",[331],,,,,,,,,,,,,,
