No. overall,No. in season,Title,Directed by,Written by,Original release date,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
466,10,"""Straw Hat Team Arrives! Tension Grows at the Battlefield"" Transliteration: ""Mugiwara Chīmu Tōchaku – Fūunkyū o Tsugeru Senjō"" (Japanese: 麦わらチーム到着 風雲急を告げる戦場)",Gō Koga,Hirohiko Kamisaka,"September 12, 2010[215]",,,,,,,
467,11,"""Even If It Means Death! Luffy vs. the Navy; The Battle Starts!"" Transliteration: ""Shindemo Tasukeru – Rufi VS Kaigun Batoru Sutāto"" (Japanese: 死んでも助ける ルフィVS海軍戦闘開始)",Naoyuki Itō,Hitoshi Tanaka,"September 19, 2010[216]",,,,,,,
468,12,"""Hard Battles, One After Another! Devil Fruit Eaters vs. Devil Fruit Eaters!"" Transliteration: ""Gekisen no Renzoku! Nōryokusha Gundan VS Nōryokusha Gundan"" (Japanese: 激戦の連続! 能力者軍団VS能力者軍団)",Makoto Sonoda,Yoshiyuki Suga,"September 26, 2010[217]",,,,,,,
469,13,"""Kuma's Transformation! Ivan-san's Blow of Anger!"" Transliteration: ""Kuma ni Okita Ihen – Iwa-san Ikari no Ichigeki"" (Japanese: クマに起きた異変　イワさん怒りの一撃)",Yoshihiro Ueda,Hirohiko Kamisaka,"October 3, 2010[218]",,,,,,,
470,14,"""The Great Swordsman Mihawk! Luffy Comes Under the Attack of the Black Sword!"" Transliteration: ""Kengō Mihōku – Rufi ni Semaru Kokutō no Zangeki"" (Japanese: 剣豪ミホーク ルフィに迫る黒刀の斬撃)",Takahiro Imamura,Yoshiyuki Suga,"October 10, 2010[219]",,,,,,,
471,15,"""The Extermination Strategy in Action! The Power of the Pacifistas!"" Transliteration: ""Senmetsu Sakusen Shidō – Pashifisuta Gundan no Iryoku"" (Japanese: 殲滅作戦始動 パシフィスタ軍団の威力)",Yutaka Nakashima,Hitoshi Tanaka,"October 17, 2010[220]",,,,,,,
472,16,"""Akainu's Plot! Whitebeard Entrapped!"" Transliteration: ""Akainu no Bōryaku! Otoshiirerareta Shirohige"" (Japanese: 赤犬の謀略! おとしいれられた白ひげ)",Sumio Watanabe,Hirohiko Kamisaka,"October 24, 2010[221]",,,,,,,
473,17,"""The Encircling Walls Activated! The Whitebeard Pirates Backed into a Corner!!"" Transliteration: ""Hōi Sakusen Sadō! Shirohige Kaizoku-dan Zettaizetsumei!!"" (Japanese: 包囲壁作動! 白ひげ海賊団絶体絶命!!)",Hiroaki Miyamoto,Hitoshi Tanaka,"October 31, 2010[222]",,,,,,,
474,18,"""Execution Order Issued! Break Through the Encircling Walls!"" Transliteration: ""Shokei Shikkō Meirei Kudaru – Hōiheki o Toppaseyo!"" (Japanese: 処刑執行命令下る 包囲壁を突破せよ!)",Aya Komaki,Yoshiyuki Suga,"November 7, 2010[223]",,,,,,,
475,19,"""Moving Into the Final Phase! Whitebeard's Trump Card for Recovery!"" Transliteration: ""Saishū Kyokumen Totsunyū! Shirohige Kishikaisei no Itte"" (Japanese: 最終局面突入! 白ひげ起死回生の一手)",Katsumi Tokoro,Hirohiko Kamisaka,"November 14, 2010[224]",,,,,,,
476,20,"""Luffy at the End of his Tether! An All-Out Battle at the Oris Plaza!"" Transliteration: ""Rufi Chikaratsuku! Orisu Hiroba no Sōryokusen!!"" (Japanese: ルフィ力尽く! オリス広場の総力戦!!)",Yoshihiro Ueda,Hitoshi Tanaka,"November 21, 2010[225]",,,,,,,
477,21,"""The Power That Will Shorten One's Life! Energy Hormone, Redux!"" Transliteration: ""Inochi o Kezuru Chikara – Tenshon Horumon Futatabi"" (Japanese: 命を削る力 テンション・ホルモン再び)",Naoyuki Itō,Yoshiyuki Suga,"November 28, 2010[226]",,,,,,,
478,22,"""To Live Up to a Promise! Luffy and Coby Collide!"" Transliteration: ""Yakusoku no Tame ni!! Gekitotsu! Rufi to Kobī"" (Japanese: 約束のために!! 激突! ルフィとコビー)",Gō Koga,Hirohiko Kamisaka,"December 5, 2010[227]",,,,,,,
479,23,"""The Scaffold at Last! The Way to Ace Has Opened!"" Transliteration: ""Shokeidai Mokuzen! Hirakareta Ēsu e no Michi!!"" (Japanese: 処刑台目前! 開かれたエースへの道!!)",Makoto Sonoda,Hitoshi Tanaka,"December 12, 2010[228]",,,,,,,
480,24,"""Each on Different Paths! Luffy vs. Garp!"" Transliteration: ""Sorezore no Eranda Michi – Rufi vs Gāpu!"" (Japanese: それぞれの選んだ道　ルフィVSガープ!)",Takahiro Imamura,Yoshiyuki Suga,"December 19, 2010[229]",,,,,,,
481,25,"""Ace Rescued! Whitebeard's Final Order!"" Transliteration: ""Ēsu Kyūshutsu! Shirohige Saigo no Senchō Meirei!"" (Japanese: エース救出! 白ひげ最後の船長命令!)",Yutaka Nakashima,Hirohiko Kamisaka,"December 26, 2010[230]",,,,,,,
482,26,"""The Power That Can Burn Even Fire! Akainu's Ruthless Pursuit!"" Transliteration: ""Hi o mo Yakitsukusu Chikara – Akainu Hijō no Tsuigeki"" (Japanese: 火をも焼き尽くす能力 赤犬非情の追撃)",Yoshihiro Ueda,Yoshiyuki Suga,"January 9, 2011[231]",,,,,,,
483,27,"""Looking for the Answer! Fire Fist Ace Dies on the Battlefield!"" Transliteration: ""Kotae o Sagashite – Hiken no Ēsu Senjō ni Shisu"" (Japanese: 答えを探して 火拳のエース戦場に死す)",Hiroaki Miyamoto,Hirohiko Kamisaka,"January 16, 2011[232]",,,,,,,
484,28,"""The Navy Headquarters Falls! Whitebeard's Unspeakable Wrath!"" Transliteration: ""Kaigun Honbu Hōkai! Shirohige Kotobanaki Ikari!"" (Japanese: 海軍本部崩壊! 白ひげ言葉なき怒り!)",Aya Komaki,Hitoshi Tanaka,"January 23, 2011[233]",,,,,,,
485,29,"""Ending the Matter! Whitebeard vs. The Blackbeard Pirates!"" Transliteration: ""Kejime o Tsukeru – Shirohige VS Kurohige Kaizoku-dan"" (Japanese: ケジメをつける 白ひげVS黒ひげ海賊団)",Katsumi Tokoro,Hirohiko Kamisaka,"January 30, 2011[234]",,,,,,,
486,30,"""The Show Begins! Blackbeard's Plot is Revealed!"" Transliteration: ""Shō no Kaimaku – Akasareta Kurohige no Takurami"" (Japanese: ショーの開幕 明かされた黒ひげの企み)",Naoyuki Itō,Yoshiyuki Suga,"February 6, 2011[235]",,,,,,,
487,31,"""The Insatiable Akainu! Lava Fists Pummel Luffy!"" Transliteration: ""Akainu no Shūnen! Rufi o Osou Maguma no Kobushi"" (Japanese: 赤犬の執念! ルフィを襲うマグマの拳)",Gō Koga,Hitoshi Tanaka,"February 13, 2011[236]",,,,,,,
488,32,"""The Desperate Scream! Courageous Moments That Will Change the Future"" Transliteration: ""Hisshi no Sakebi – Unmei o Kaeru Yūki aru Sūbyō"" (Japanese: 必死の叫び 運命を変える勇気ある数秒)",Yoshihiro Ueda,Yoshiyuki Suga,"February 20, 2011[237]",,,,,,,
489,33,"""Here Comes Shanks! The War of the Best is Finally Over!"" Transliteration: ""Shankusu Kenzan! Chōjō Sensō Tsuini Shūketsu"" (Japanese: シャンクス見参! 頂上戦争ついに終結)",Yutaka Nakashima,Hitoshi Tanaka,"March 6, 2011[238]",,,,,,,
Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War
490,34,"""Mighty Leaders Face Each Other Down! Heralding the ""New Era""!"" Transliteration: ""Gun'yūkakkyosu! ""Atarashī Jidai"" no Hajimari!"" (Japanese: 群雄割拠す! ""新しい時代""の始まり!)",Directed by : Takahiro Imamura Storyboarded by : Naotoshi Shida,Hirohiko Kamisaka,"March 20, 2011[239]",,,,,,,
491,35,"""Landing at the Maiden Island! The Harsh Reality Falls Upon Luffy!"" Transliteration: ""Nyōgashima Jōriku – Rufi o Semeru Kakoku na Genjitsu"" (Japanese: 女ヶ島上陸 ルフィを責める過酷な現実)",Directed by : Makoto Sonoda Storyboarded by : Eisaku Inoue,Yoshiyuki Suga,"March 27, 2011[240]",,,,,,,
Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special,Toriko x One Piece Collaboration Special
492,36,"""The Strongest Tag-Team! Luffy and Toriko's Hard Struggle!"" Transliteration: ""Saikyō Taggu! Funtō, Rufi to Toriko!"" (Japanese: 最強タッグ! 奮闘、ルフィとトリコ!)",Naoyuki Itō,Isao Murayama,"April 3, 2011[241][n 9]",,,,,,,
Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War,Post-War
493,37,"""Luffy and Ace! The Story of How the Brothers Met!"" Transliteration: ""Rufi to Ēsu – Kyōdai no Deai no Monogatari!"" (Japanese: ルフィとエース 兄弟の出会いの物語!)",Aya Komaki,Hitoshi Tanaka,"April 10, 2011[243]",,,,,,,
494,38,"""Here Comes Sabo! The Boy at the Gray Terminal!"" Transliteration: ""Sabo Tōjō! Gurei Tāminaru no Shōnen"" (Japanese: サボ登場! 不確かな物の終着駅の少年)",Katsumi Tokoro,Hitoshi Tanaka,"April 17, 2011[244]",,,,,,,
495,39,"""I Won't Run! Ace's Desperate Rescue Operation!"" Transliteration: ""Ore wa Nigenai – Ēsu Kesshi no Kyūshutsu Sakusen"" (Japanese: おれは逃げない エース決死の救出作戦)",Yoshihiro Ueda,Hirohiko Kamisaka,"April 24, 2011[245]",,,,,,,
496,40,"""To The Sea Someday! The Pledge of the Three Brats!"" Transliteration: ""Itsuka Umi e! San'nin no Akudō Chikai no Sakazuki!"" (Japanese: いつか海へ! 三人の悪童ちかいの盃!)",Yutaka Nakashima,Yoshiyuki Suga,"May 1, 2011[246]",,,,,,,
497,41,"""Leaving the Dadan Family for Good?! The Kids' Hideout Has Been Built!"" Transliteration: ""Dadan Ikka to no Wakare!? Kansei! Himitsu Kichi"" (Japanese: ダダン一家との別れ!? 完成! 秘密基地)",Gō Koga,Hitoshi Tanaka,"May 8, 2011[247]",,,,,,,
498,42,"""Luffy Becoming an Apprentice?! A Man Who Fought Against the King of the Pirates!"" Transliteration: ""Rufi Deshi-iri!? Kaizoku-Ō to Tatakatta Otoko!"" (Japanese: ルフィ弟子入り!?　海賊王と戦った男!)",Takahiro Imamura,Hirohiko Kamisaka,"May 15, 2011[248]",,,,,,,
499,43,"""The Battle against the Big Tiger! Who is Going to be Captain?!"" Transliteration: ""Ōtora to no Kessen! Senchō ni Naru no wa Dare da!"" (Japanese: 大虎との決戦! 船長になるのは誰だ!)",Hiroaki Miyamoto,Hirohiko Kamisaka,"May 22, 2011[249]",,,,,,,
500,44,"""Freedom Taken Away! The Nobles' Plot Closing in on the Brothers!"" Transliteration: ""Ubawareta Jiyū! Sankyōdai ni Semaru Kizoku no Wana"" (Japanese: 奪われた自由! 三兄弟に迫る貴族の罠)",Makoto Sonoda,Yoshiyuki Suga,"May 29, 2011[250]",,,,,,,
501,45,"""The Fire Has Been Set! The Gray Terminal in Crisis!"" Transliteration: ""Hanatareta Honō – Gurei Tāminaru no Kiki"" (Japanese: 放たれた炎 グレイ・ターミナルの危機)",Yoshihiro Ueda,Hitoshi Tanaka,"June 5, 2011[251]",,,,,,,
502,46,"""Where Can Freedom be Found? A Sad Departure of a Boy!"" Transliteration: ""Jiyū wa Doko ni Aru? Shōnen no Kanashiki Funade"" (Japanese: 自由はどこにある? 少年の悲しき船出)",Katsumi Tokoro,Hirohiko Kamisaka,"June 12, 2011[252]",,,,,,,
503,47,"""Take Good Care of Him! A Letter from the Brother!"" Transliteration: ""Yoroshiku Tanomu! Kyōdai kara Todoita Tegami!"" (Japanese: よろしく頼む! 兄弟から届いた手紙!)",Aya Komaki,Yoshiyuki Suga,"June 19, 2011[253]",,,,,,,
504,48,"""To Live Up to the Promise! Departures of Their Own!"" Transliteration: ""Yakusoku o Hatasu Tame – Sorezore no Tabidachi!"" (Japanese: 約束を果たすため それぞれの旅立ち!)",Yutaka Nakashima,Hitoshi Tanaka,"June 26, 2011[254]",,,,,,,
505,49,"""I Want to See Them! Luffy's Mournful Cry!"" Transliteration: ""Aitsura ni Aitē! Rufi Namida no Sakebi"" (Japanese: あいつらに会いてェ! ルフィ涙の叫び)",Yoshihiro Ueda,Yoshiyuki Suga,"July 3, 2011",,,,,,,
506,50,"""Straw Hats in Shock! The Bad News Has Reached Them!"" Transliteration: ""Mugiwara no Ichimi Gekishin! Motarasareta Kyōhō"" (Japanese: 麦わらの一味激震! もたらされた凶報)",Gō Koga,Hitoshi Tanaka,"July 10, 2011",,,,,,,
507,51,"""Reunited with Dark King Rayleigh! Decision Time for Luffy!"" Transliteration: ""Meiō Reirī to no Saikai – Rufi Ketsudan no Toki"" (Japanese: 冥王レイリーとの再会 ルフィ決断の時)",Takahiro Imamura,Tomohiro Nakayama,"July 17, 2011",,,,,,,
508,52,"""Back to Our Captain! A Jail Break at the Sky Island and the Incident on the Winter Island!"" Transliteration: ""Senchō no Moto e – Sorajima no Datsugoku to Fuyujima no Jiken"" (Japanese: 船長のもとへ 空島の脱獄と冬島の事件)",Katsumi Tokoro,Hirohiko Kamisaka,"July 31, 2011",,,,,,,
509,53,"""Encounter! The Great Swordsman Mihawk! Zoro's Self-Willed Deadly Struggle!"" Transliteration: ""Sesshoku! Daikengō Mihōku – Zoro Iji no Shitō"" (Japanese: 接触! 大剣豪ミホーク ゾロ意地の死闘)",Yoshihiro Ueda,Yoshiyuki Suga,"August 7, 2011",,,,,,,
510,54,"""A Disaster for Sanji! The Queen's Return to the Kingdom!"" Transliteration: ""Sanji no Junan – Ōkoku e to Kikanshita Joō!"" (Japanese: サンジの受難 王国へと帰還した女王!)",Yoshihiro Ueda,Tomohiro Nakayama,"August 14, 2011",,,,,,,
511,55,"""Unexpected Relanding! Luffy, to Marineford!"" Transliteration: ""Masaka no Saijōriku! Rufi Marinfōdo e!"" (Japanese: まさかの再上陸! ルフィ海軍本部へ!)",Makoto Sonoda,Hitoshi Tanaka,"August 21, 2011",,,,,,,
512,56,"""With Hopes It Will Reach My Friends! Big News Spreading Fast!"" Transliteration: ""Nakama ni Todoke – Kakemeguru Dai-nyūsu!"" (Japanese: 仲間に届け かけめぐる大ニュース!)",Yutaka Nakashima,Hirohiko Kamisaka,"August 28, 2011",,,,,,,
513,57,"""Pirates Get on the Move! Astounding New World!"" Transliteration: ""Ugokidasu Kaizoku-tachi! Kyōtendōchi no Shinsekai"" (Japanese: 動き出す海賊たち! 驚天動地の新世界)",Hiroyuki Satō,Yoshiyuki Suga,"September 4, 2011",,,,,,,
514,58,"""Living through Hell! Sanji's Fight for His Manhood!"" Transliteration: ""Jigoku o Ikinuke – Sanji Otoko o Kaketa Shōbu"" (Japanese: 地獄を生き抜け サンジ男をかけた勝負)",Aya Komaki,Hitoshi Tanaka,"September 11, 2011",,,,,,,
515,59,"""I Will Get Much, Much Stronger! Zoro's Pledge to his Captain!"" Transliteration: ""Madamada Tsuyoku Naru! Zoro Senchō e no Chikai"" (Japanese: まだまだ強くなる! ゾロ船長への誓い)",Yoshihiro Ueda,Tomohiro Nakayama,"September 18, 2011",,,,,,,
516,60,"""Luffy's Training Begins! To the Place We Promised in 2 Years!"" Transliteration: ""Rufi Shugyō Kaishi – Ninengo ni Yakusoku no Basho de"" (Japanese: ルフィ修行開始 2年後に約束の場所で)",Katsumi Tokoro,Hirohiko Kamisaka,"September 25, 2011",,,,,,,
