No. overall,No. in season,Title [264],Directed by,Written by,Original release date,English air date [n 10],Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea,Sky Island ~ Skypiea
153,10,"""Sail the White Sea! The Sky Knight and the Gate in the Clouds!"" Transliteration: ""Koko wa sora no umi! Sora no kishi to tengoku no mon"" (Japanese: ここは空の海!空の騎士と天国の門)",Junji Shimizu,Michiru Shimada,"May 4, 2003[315]","December 8, 2007[316][317]",,,,,,
154,11,"""Godland, Skypiea! Angels on a Beach of Clouds!"" Transliteration: ""Kami no kuni Sukaipia! Kumo no nagisa no tenshitachi"" (Japanese: 神の国スカイピア!雲の渚の天使たち)",Yoko Ikeda,Ryōta Yamaguchi,"May 11, 2003[318]","December 15, 2007[319][320]",,,,,,
155,12,"""The Forbidden Sacred Ground! The Island Where God Lives and Heaven's Judgement!"" Transliteration: ""Kindan no seichi! Kami no sumi shima to ten no sabaki!"" (Japanese: 禁断の聖地!神の住む島と天の裁き!)",Hidehiko Kadota,Michiru Shimada,"May 18, 2003[321]","December 22, 2007[322]",,,,,,
156,13,"""Already Criminals?! Skypiea's Upholder of the Law!"" Transliteration: ""Hayaku mo hanzaisha!? Sukaipia no hō no banjin"" (Japanese: 早くも犯罪者!?スカイピアの法の番人)",Junichi Fujise,Yoshiyuki Suga,"June 8, 2003[323][324]","December 29, 2007[325][326]",,,,,,
157,14,"""Is Escape Possible?!? God's Challenge is Set in Motion"" Transliteration: ""Dasshutsu naru ka!? Ugokihajimeta kami no shiren!"" (Japanese: 脱出なるか!?動きはじめた神の試練!)",Ken Koyama,Junki Takegami,"June 15, 2003","January 5, 2008[327][328]",,,,,,
158,15,"""A Trap on Lovely Street! The Almighty Eneru"" Transliteration: ""Raburī dōri no wana! Zennō naru Goddo Eneru"" (Japanese: ラブリー通りの罠!全能なる神エネル)",Hiroyuki Kakudō,Junki Takegami,"June 22, 2003","January 12, 2008",,,,,,
159,16,"""Onward Crow! To the Sacrificial Altar!"" Transliteration: ""Susume Karasumaru! Ikenie no saidan o mezase"" (Japanese: すすめカラス丸!生贄の祭壇を目指せ)",Junji Shimizu,Yoshiyuki Suga,"July 6, 2003","January 19, 2008[329]",,,,,,
160,17,"""10% Survival Rate! Satori, the Mantra Master!"" Transliteration: ""Seizonritsu 10%! Mantora tsukai no shinkan Satori"" (Japanese: 生存率10%!心綱使いの神官サトリ!)",Hidehiko Kadota,Yoshiyuki Suga,"July 13, 2003","January 26, 2008[330][331]",,,,,,
161,18,"""The Ordeal of Spheres! Desperate Struggle in the Lost Forest!"" Transliteration: ""'Tama no shiren' no kyōi! Mayoi no mori no shitō"" (Japanese: 「玉の試練」の脅威!迷いの森の死闘)",Katsumi Tokoro,Junki Takegami,"July 20, 2003","February 2, 2008[332]",,,,,,
162,19,"""Chopper in Danger! Former God vs. Priest Shura!"" Transliteration: ""Choppā ayaushi! Moto kami VS Shinkan Shura"" (Japanese: チョッパー危うし!元神VS神官シュラ)",Munehisa Sakai,Junki Takegami,"August 3, 2003[333]","February 9, 2008[334][335]",,,,,,
163,20,"""Profound Mystery! Ordeal of String and Ordeal of Love?!?"" Transliteration: ""Makafushigi! Himo no shiren to koi no shiren!?"" (Japanese: 摩訶不思議!紐の試練と恋の試練!?)",Ken Koyama,Yoshiyuki Suga,"August 10, 2003","February 16, 2008[336][337]",,,,,,
164,21,"""Light the Fire of Shandora! Wyper the Warrior!"" Transliteration: ""Shandora no tō o nobose! Senshi Waipā"" (Japanese: シャンドラの灯を燈せ!戦士ワイパー)",Kōnosuke Uda,Yoshiyuki Suga,"August 17, 2003","February 23, 2008[338][339]",,,,,,
165,22,"""Jaya, City of Gold in the Sky! Head for God's Shrine!"" Transliteration: ""Tenkū no ōgonkyō Jaya! Mezase kami no yashiro"" (Japanese: 天空の黄金卿ジャヤ!目指せ神の社!)",Directed by : Junichi Fujise Storyboarded by : Kenji Yokoyama,Junki Takegami,"August 24, 2003","March 1, 2008[340]",,,,,,
166,23,"""Festival on the Night Before Gold-Hunting! Feelings for ""Vearth!"""" Transliteration: ""ōgon zenya matsuri! Vāsu e no omoi!"" (Japanese: 黄金前夜祭!「ヴァース」への想い!)",Yoko Ikeda,Junki Takegami,"September 7, 2003","March 8, 2008[341]",,,,,,
167,24,"""Enter God Eneru! Farewell to the Survivors!"" Transliteration: ""Goddo Eneru tōjō!! Ikinokori e no ōpādo"" (Japanese: 神·エネル登場!!生き残りへの夜明曲)",Shigeyasu Yamauchi,Yoshiyuki Suga,"September 21, 2003","March 15, 2008[342][343]",,,,,,
168,25,"""A Giant Snake Bares Its Fangs! The Survival Game Begins!"" Transliteration: ""Kiba muku ōhebi! Tsui ni hajimaru sabaibaru gēmu"" (Japanese: 牙むく大蛇!遂に始まる生き残り合戦)",Hiroyuki Kakudō,Yoshiyuki Suga,"October 12, 2003[344]","November 3, 2008",,,,,,
169,26,"""The Deadly Reject! War Demon Wyper's Resolve!"" Transliteration: ""Sutemi no haigeki! Senki Waipā no kakugo"" (Japanese: 捨身の排撃!!「戦鬼」ワイパーの覚悟)",Munehisa Sakai,Junki Takegami,"October 19, 2003","November 4, 2008",,,,,,
170,27,"""Fierce Mid-Air Battle! Pirate Zoro vs. Warrior Braham!"" Transliteration: ""Kūchū no gekisen! Kaizoku Zoro VS Senshi Burahamu"" (Japanese: 空中の激戦!海賊ゾロVS戦士ブラハム)",Ken Koyama,Junki Takegami,"October 19, 2003","November 5, 2008",,,,,,
171,28,"""The Roaring Burn Bazooka!! Pirate Luffy vs. War Demon Wyper!"" Transliteration: ""Unaru nenshōhō!! Rufi vs senki Waipā"" (Japanese: 唸る燃焼砲!!ルフィVS戦鬼ワイパー闘)",Katsumi Tokoro,Yoshiyuki Suga,"October 26, 2003","November 6, 2008",,,,,,
172,29,"""The Ordeal of Swamp! Chopper vs Sky Punk Gedatsu!"" Transliteration: ""Numa no shiren! Choppā VS Shinkan Gedatsu!!"" (Japanese: 沼の試練!チョッパーVS神官ゲダツ!!)",Hidehiko Kadota,Yoshiyuki Suga,"November 2, 2003","November 7, 2008",,,,,,
Sky Island ~ The Golden Bell,Sky Island ~ The Golden Bell,Sky Island ~ The Golden Bell,Sky Island ~ The Golden Bell,Sky Island ~ The Golden Bell,Sky Island ~ The Golden Bell,Sky Island ~ The Golden Bell,Sky Island ~ The Golden Bell,Sky Island ~ The Golden Bell,Sky Island ~ The Golden Bell,Sky Island ~ The Golden Bell,Sky Island ~ The Golden Bell,Sky Island ~ The Golden Bell
173,30,"""Unbeatable Powers! Eneru's True Form is Revealed!"" Transliteration: ""Muteki no nōryoku! Akasareru Eneru no shōtai"" (Japanese: 無敵の能力!明かされるエネルの正体)",Kōnosuke Uda,Junki Takegami,"November 9, 2003","November 10, 2008",,,,,,
174,31,"""A Mystical City! The Grand Ruins of Shandora!"" Transliteration: ""Maboroshi no to! Yūdai naru Shandora no iseki!!"" (Japanese: 幻の都!雄大なるシャンドラの遺跡!!)",Directed by : Yoko Ikeda Storyboarded by : Kenji Yokoyama,Junki Takegami,"November 16, 2003","November 11, 2008",,,,,,
175,32,"""0% Survival Rate! Chopper vs. Ohm, the Sword Wielding Priest!"" Transliteration: ""Seisonritsu 0%!! Choppā VS shinkan Ōmu"" (Japanese: 生存率0%!!チョッパーVS神官オーム)",Junichi Fujise,Junki Takegami,"December 21, 2003","November 12, 2008",,,,,,
176,33,"""Climb Giant Jack! Deadly Combat in the Upper Ruins!"" Transliteration: ""Kyodai mame tsuru o nobore!! Jōsō iseki no shitō"" (Japanese: 巨大豆蔓""を登れ!!上層遺跡の死闘)",Munehisa Sakai,Michiru Shimada,"January 11, 2004","November 13, 2008",,,,,,
177,34,"""The Ordeal of Iron! White Barbed Death Match!"" Transliteration: ""Tetsu no shiren no shinkocchō! Shiroibara Desumacchi!!"" (Japanese: 鉄の試練の真骨頂!白荊デスマッチ!!)",Ken Koyama,Michiru Shimada,"January 18, 2004","November 14, 2008",,,,,,
178,35,"""Bursting Slash! Zoro vs Ohm!"" Transliteration: ""Hotobashiru Zangeki! Zoro VS shinkan Ōmu!!"" (Japanese: ほとばしる斬撃!ゾロVS神官オーム!!)",Hidehiko Kadota,Michiru Shimada,"January 25, 2004","November 17, 2008",,,,,,
179,36,"""Collapsing Upper Ruins! The Quintet for the Finale!"" Transliteration: ""Kuzure yuku jōsō iseki! Fināre e no kuintetto"" (Japanese: 崩れゆく上層遺跡!終曲への五重奏!!)",Katsumi Tokoro,Michiru Shimada,"February 1, 2004","November 18, 2008",,,,,,
180,37,"""Showdown in the Ancient Ruins! Sky God Eneru's Goal!"" Transliteration: ""Kodai iseki no taiketsu! Goddo Eneru no mokuteki"" (Japanese: 古代遺跡の対決!神·エネルの目的)",Yukio Kaizawa,Junki Takegami,"February 8, 2004[345]","November 19, 2008",,,,,,
181,38,"""Ambition Towards the Endless Vearth! The Ark Maxim!"" Transliteration: ""Kagirinai daichi e no yabō hakobune Makushimu"" (Japanese: 限りない大地への野望方舟マクシム!!)",Yoko Ikeda,Junki Takegami,"February 15, 2004","November 20, 2008",,,,,,
182,39,"""They Finally Clash! Pirate Luffy vs God Eneru!"" Transliteration: ""Tsui ni gekitotsu! Kaizoku Rufi VS Goddo Eneru!!"" (Japanese: 遂に激突!海賊ルフィVS神·エネル!!)",Kōnosuke Uda,Junki Takegami,"February 22, 2004","November 21, 2008",,,,,,
183,40,"""Maxim Surfaces! Deathpiea is Activated!"" Transliteration: ""Makushimu ujō! Ugokihajimeta Desupia!!"" (Japanese: マクシム浮上!動き始めたデスピア!!)",Takahiro Imamura,Michiru Shimada,"February 29, 2004","November 24, 2008",,,,,,
184,41,"""Luffy Falls! Eneru's Judgement and Nami's Wish!"" Transliteration: ""Rufi rakuka! Kami no sabaki to Nami no nozomi!!"" (Japanese: ルフィ落下!神の裁きとナミの望み!!)",Ken Koyama,Michiru Shimada,"March 7, 2004","November 25, 2008",,,,,,
185,42,"""The Two Awaken! On the Front Lines of the Burning Love Rescue!"" Transliteration: ""Mesameta futari! Moeru koi no kyūshutsu zensen!!"" (Japanese: 目覚めた二人!燃える恋の救出前線!!)",Munehisa Sakai,Michiru Shimada,"March 14, 2004","November 26, 2008",,,,,,
186,43,"""Capriccio for Despair! The Impending Doom of Sky Island!"" Transliteration: ""Zetsubō e no kyōsōkyoku hakari kuru sorajima no shōmetsu!!"" (Japanese: 絶望への狂想曲迫り来る空島の消滅!!)",Hidehiko Kadota,Hirohiko Kamisaka,"March 21, 2004","November 27, 2008",,,,,,
187,44,"""Led by a Bell's Sound! Tale of the Great Warrior and the Explorer!"" Transliteration: ""Kane no oto no michibiki! Daisenshi to shinkenka no monogatari"" (Japanese: 鐘の音の導き!大戦士と探検家の物語)",Hiroyuki Kakudō,Hirohiko Kamisaka,"March 28, 2004","November 28, 2008",,,,,,
188,45,"""Free From the Spell! The Great Warrior Sheds Tears!"" Transliteration: ""Jubaku kara no kaihō! Daisenshi ga nagashita namida!!"" (Japanese: 呪縛からの解放!大戦士が流した涙!!)",Takahiro Imamura,Hirohiko Kamisaka,"March 28, 2004","December 30, 2008",,,,,,
189,46,"""Eternal Friends! The Vowed Bell Echoes Across the Mighty Seas!"" Transliteration: ""Eien no shinyū! Daikaigen ni hibiku chikai no kane"" (Japanese: 永遠の親友!大海原に響く誓いの鐘)",Katsumi Tokoro,Hirohiko Kamisaka,"April 4, 2004","December 31, 2008",,,,,,
190,47,"""Angel Island, Obliterated! The Horror of The Raigo's Advent!!"" Transliteration: ""Enjerushima shōmetsu! Raigō kōrin no kyōfu!"" (Japanese: エンジェル島消滅!雷迎降臨の恐怖!!)",Ken Koyama,Hirohiko Kamisaka,"April 25, 2004","January 2, 2009",,,,,,
191,48,"""Knock Over Giant Jack! Last Hope for Escape!"" Transliteration: ""Kyodai mame tsuru o taose! Dasshutsu e no saigō no nozomi"" (Japanese: 巨大豆蔓を倒せ!脱出への最後の望み)",Yoko Ikeda,Hirohiko Kamisaka,"May 2, 2004","January 5, 2009",,,,,,
192,49,"""Miracle on Skypiea! The Love Song Heard in the Clouds!"" Transliteration: ""Kami no kuni no kiseki! Tenshi ni todoita rabusongu"" (Japanese: 神の国の奇跡!天使に届いた島の歌声)",Hidehiko Kadota,Hirohiko Kamisaka,"May 9, 2004","January 6, 2009",,,,,,
193,50,"""The Battle Ends! Proud Fantasia Echoes Far!"" Transliteration: ""Tatakai no shūen! Tōku hibiku hokori takaki gensōkyoku"" (Japanese: 戦いの終焉!遠く響く誇り高き幻想曲)",Hiroyuki Kakudō,Hirohiko Kamisaka,"May 23, 2004","January 7, 2009",,,,,,
194,51,"""I Made it Here! The Yarn the Poneglyphs Spin!"" Transliteration: ""Ware koko ni itaru! Rekishi no honbun ga tsumugu mono"" (Japanese: 我ここに至る!歴史の本文が紡ぐもの)",Junichi Fujise,Hirohiko Kamisaka,"June 6, 2004[346]","January 8, 2009",,,,,,
195,52,"""Off to the Blue Sea!! A Heartfelt Finale!"" Transliteration: ""Iza seikai e!! Omoi ga shibarinasu saishū gakushō"" (Japanese: いざ青海へ!!想いが織りなす最終楽章)",Munehisa Sakai,Hirohiko Kamisaka,"June 13, 2004[347]","January 9, 2009",,,,,,
