No. overall,No. in season,Title,Directed by,Written by,Original release date,English air date,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
393,12,"""The Target is Camie! The Looming Clutches of a Professional Kidnapper"" Transliteration: ""Hyōteki wa Keimī!! Semaru Hitosarai-ya no Mashu"" (Japanese: 標的はケイミー!! 迫る人攫い屋の魔手)",Tetsuya Endō,Yoshiyuki Suga,"March 15, 2009[142]",—,,,,,,
394,13,"""Rescue Camie! The Archipelago’s Lingering Dark History"" Transliteration: ""Keimī o Sukue - Shotō ni Nokoru Ankoku no Rekishi"" (Japanese: ケイミーを救え 諸島に残る暗黒の歴史)",Makoto Sonoda,Hitoshi Tanaka,"March 29, 2009[143]",—,,,,,,
395,14,"""Time Limit – The Human Auction Begins"" Transliteration: ""Taimu Rimitto - Hyūman Ōkushon Kaimaku"" (Japanese: タイムリミット 人間オークション開幕)",Yutaka Nakashima,Yoshiyuki Suga,"April 5, 2009[144]",—,,,,,,
396,15,"""The Fist Explodes! Destroy the Auction"" Transliteration: ""Tekken Sakuretsu! Ōkushon o Buttsubuse"" (Japanese: 鉄拳炸裂! オークションをぶっつぶせ)",Katsumi Tokoro,Hirohiko Kamisaka,"April 12, 2009[145]",—,,,,,,
397,16,"""Major Panic! Desperate Struggle at the Auction House"" Transliteration: ""Dai Panikku! Ōkushon Kaijō no Shitō"" (Japanese: 大パニック! オークション会場の死闘)",Yoshihiro Ueda,Hitoshi Tanaka,"April 19, 2009[146]",—,,,,,,
398,17,"""Admiral Kizaru Takes Action! Sabaody Archipelago Thrown into Chaos"" Transliteration: ""Taishō Kizaru Ugoku! Sōzen Shabondi Shotō"" (Japanese: 大将黄猿動く! 騒然シャボンディ諸島)",Sumio Watanabe,Yoshiyuki Suga,"April 26, 2009[147]",—,,,,,,
399,18,"""Break Through the Siege! The Navy vs. the Three Captains"" Transliteration: ""Hōim Ami o Toppaseyo! Kaigun VS Sannin no Senchō"" (Japanese: 包囲網を突破せよ! 海軍VS三人の船長)",Yukihiko Nakao,Hirohiko Kamisaka,"May 3, 2009[148]",—,,,,,,
400,19,"""Roger and Rayleigh – the King of the Pirates and His Right Hand Man"" Transliteration: ""Rojā to Reirī – Kaizoku Ō to sono Migiude"" (Japanese: ロジャーとレイリー 海賊王とその右腕)",Katsumi Tokoro,Yoshiyuki Suga,"May 10, 2009[149]",—,,,,,,
401,20,"""No Escape!? Admiral Kizaru’s Light Speed Kick!!"" Transliteration: ""Kaihi Fukanō!? Taishō Kizaru no Kōsoku no Keri"" (Japanese: 回避不可能!? 大将黄猿の光速の蹴り)",Yutaka Nakashima,Hitoshi Tanaka,"May 17, 2009[150]",—,,,,,,
402,21,"""Overwhelming! The Navy’s Fighting Weapons, the Pacifistas"" Transliteration: ""Attōteki! Kaigun no Sentō Heiki Pashifisuta"" (Japanese: 圧倒的! 海軍の戦闘兵器パシフィスタ)",Tetsuya Endō,Yoshiyuki Suga,"May 24, 2009[151]",—,,,,,,
403,22,"""An Even Stronger Enemy Appears! The Battle Axe-Carrying Sentomaru"" Transliteration: ""Saranaru Kyōteki Arawaru! Masakari Katsuida Sentōmaru"" (Japanese: さらなる強敵現る! 鉞かついだ戦桃丸)",Yoshihiro Ueda,Yoshiyuki Suga,"May 31, 2009[152]",—,,,,,,
404,23,"""Admiral Kizaru's Fierce Assault! The Straw Hats Face Certain Death!"" Transliteration: ""Taishō Kizaru no Mōkō – Mugiwara Ichimi Zettaizetsumei!"" (Japanese: 大将黄猿の猛攻 麦わら一味絶体絶命!)",Makoto Sonoda,Hirohiko Kamisaka,"June 7, 2009[153]",—,,,,,,
405,24,"""Eliminated Friends – The Final Day of the Straw Hat Crew"" Transliteration: ""Kesareta Nakama-tachi – Mugiwara Ichimi Saigo no Hi"" (Japanese: 消された仲間たち 麦わら一味最後の日)",Hiroaki Miyamoto,Hirohiko Kamisaka,"June 14, 2009[154]",—,,,,,,
Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special,Boss Luffy Historical Special
406,25,"""Feudal Era Side Story – Boss Luffy Appears Again"" Transliteration: ""Jidaigeki Tokubetsu Hen – Rufi-Oyabun Futatabi Kenzan"" (Japanese: 時代劇特別編 ルフィ親分再び見参)",Tetsuya Endō,Hitoshi Tanaka,"June 21, 2009[155]",—,,,,,,
407,26,"""Feudal Era Side Story – Defeat Thriller Company's Trap"" Transliteration: ""Jidaigeki Tokubetsu Hen – Yabure! Surirā Shōkai no Wana"" (Japanese: 時代劇特別編 破れ! スリラー商会の罠)",Naoyuki Itō,Hitoshi Tanaka,"June 28, 2009[156]",—,,,,,,
