No. overall [n 2],No. in season,Title [n 3],Directed by,Written by,Original release date [n 4],English air date [12],Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
755,9,"""Garchu! The Straw Hats Reunite!"" Transliteration: ""Garuchū! Mugiwara no Ichimi Sai Shūketsu"" (Japanese: ガルチュー！麦わらの一味再集結)",Masahiro Hosoda,Tomohiro Nakayama,"September 4, 2016","December 7, 2025",,,,,,
756,10,"""Start to Counterattack! Great Moves by the Twirly Hat Crew!"" Transliteration: ""Hangeki Kaishi - Guruwara no Ichimi Dai-katsuyaku!"" (Japanese: 反撃開始 ぐるわらの一味大活躍！)",Satoshi Itō,Shōji Yonemura,"September 11, 2016","December 14, 2025",,,,,,
757,11,"""A Threat Descends! The Beast Pirates, Jack!"" Transliteration: ""Kyoui Shurai - Hyakujuu Kaizokudan Jakku!"" (Japanese: 脅威襲来 百獣海賊団ジャック！)",Yoshihiro Ueda,Atsuhiro Tomioka,"September 25, 2016","December 21, 2025",,,,,,
758,12,"""The King of the Day! Duke Dogstorm Appears!"" Transliteration: ""Hiru no Ō - Inuarashi Koushaku Toujou!"" (Japanese: 昼の王 イヌアラシ公爵登場！)",Kentarō Fujita,Tomohiro Nakayama,"October 2, 2016","January 4, 2026",,,,,,
759,13,"""The King of the Night! Master Cat Viper Emerges!"" Transliteration: ""Yoru no Ō - Nekomamushi no Danna Kenzan!"" (Japanese: 夜の王 ネコマムシの旦那見参！)",Katsumi Tokoro,Shōji Yonemura,"October 9, 2016","January 11, 2026",,,,,,
760,14,"""The Exterminated Capital! The Twirly Hat Crew Arrive!"" Transliteration: ""Shuto Kaimetsu - Guru wara no Ichimi Jōriku!"" (Japanese: 首都壊滅 ぐるわらの一味上陸！)",Tetsuya Endō,Jin Tanaka,"October 16, 2016",TBA,,,,,,
761,15,"""The Time Limit Closes In! The Bond Between the Mink Tribe and the Crew!"" Transliteration: ""Kokugen Semaru - Minku Zoku to Ichimi no Kizuna!"" (Japanese: 刻限迫る ミンク族と一味の絆！)",Yoshihiro Ueda,Atsuhiro Tomioka,"October 23, 2016",TBA,,,,,,
762,16,"""The Delinquent Comes Home! Emperor Big Mom's Assassins!"" Transliteration: ""Akudō Kikyō Yon - Sumeragi Biggu Mamu no Shikaku"" (Japanese: 悪童帰郷 四皇ビッグ・マムの刺客)",Directed by : Kentarō Fujita Storyboarded by : Toshinori Fukuzawa,Tomohiro Nakayama,"October 30, 2016",TBA,,,,,,
763,17,"""The Truth Behind the Disappearance! Sanji Gets a Startling Invitation!"" Transliteration: ""Shissō no Shinjitsu - Sanji Kyōgaku no Shōtai Jō"" (Japanese: 失踪の真実 サンジ驚愕の招待状)",Satoshi Itō,Shōji Yonemura,"November 6, 2016",TBA,,,,,,
764,18,"""To My Buds! Sanji's Farewell Note!"" Transliteration: ""Yarō-domo e - Sanji Wakare no Okitegami"" (Japanese: 野郎共へ サンジ別れの置手紙)",Yasunori Koyama,Jin Tanaka,"November 13, 2016",TBA,,,,,,
765,19,"""Let's Go and Meet Master Cat Viper!"" Transliteration: ""Nekomamushi no Dan'na ni Ai ni Yukō"" (Japanese: ネコマムシの旦那に会いに行こう)",Tatsuya Nagamine,Atsuhiro Tomioka,"November 20, 2016",TBA,,,,,,
766,20,"""Luffy's Decision! Sanji on the Brink of Quitting!"" Transliteration: ""Rufi Ketsudan - Sanji Dattai no Kiki!"" (Japanese: ルフィ決断 サンジ脱退の危機！)",Masahiro Hosoda,Tomohiro Nakayama,"November 27, 2016",TBA,,,,,,
767,21,"""A Volatile Situation! The Dog and the Cat and the Samurai"" Transliteration: ""Isshokusokuhatsu - Inu to Neko to Samurai!"" (Japanese: 一触即発 イヌとネコと侍！)",Toshinori Fukuzawa,Shōji Yonemura,"December 4, 2016",TBA,,,,,,
768,22,"""The Third One! Raizo of the Mist, the Ninja, Appears!"" Transliteration: ""Sannin Me! Ninja: Kiri no Raizō Tōjō!"" (Japanese: 三人目！忍者・霧の雷ぞう登場！)",Directed by : Yoshihiro Ueda Storyboarded by : Tetsuya Endō,Jin Tanaka,"December 11, 2016",TBA,,,,,,
769,23,"""A Red Stone! A Guide to the One Piece!"" Transliteration: ""Akai Ishi! ""Wan Pīsu"" e no Michishirube"" (Japanese: 赤い石！“ひとつなぎの大秘宝（ワンピース）”への道標)",Katsumi Tokoro,Tomohiro Nakayama,"December 18, 2016",TBA,,,,,,
770,24,"""The Secret of the Land of Wano! The Kozuki Family and the Ponegliffs!"" Transliteration: ""Wano Kuni no Himitsu - Kōzuki-ke to Pōnegurifu"" (Japanese: ワノ国の秘密 光月家と歴史の本文（ポーネグリフ）)",Kentarō Fujita,Tomohiro Nakayama,"December 25, 2016",TBA,,,,,,
771,25,"""A Vow Between Two Men! Luffy and Kozuki Momonosuke!"" Transliteration: ""Otoko no Chikai - Rufi to Kōzuki Momonosuke"" (Japanese: 男の誓い ルフィと光月モモの助)",Satoshi Itō,Atsuhiro Tomioka,"January 8, 2017",TBA,,,,,,
772,26,"""The Legendary Journey! The Dog and the Cat and the Pirate King!"" Transliteration: ""Densetsu no Kōkai - Inu to Neko to Kaizoku-Ō!"" (Japanese: 伝説の航海 イヌとネコと海賊王！)",Directed by : Yasunori Koyama Storyboarded by : Tetsuya Endō,Shōji Yonemura,"January 15, 2017",TBA,,,,,,
773,27,"""The Nightmare Returns! The Invincible Jack's Fierce Attack!"" Transliteration: ""Akumu Futatabi - Fujimi no Jakku Kyōshū"" (Japanese: 悪夢再び 不死身のジャック強襲)",Yoshihiro Ueda,Jin Tanaka,"January 22, 2017",TBA,,,,,,
774,28,"""A Battle to Defend Zou! Luffy and Zunesha!"" Transliteration: ""Zō Bōeisen - Rufi to Zunīsha!"" (Japanese: ゾウ防衛戦 ルフィとズニーシャ！)",Takashi Ōtsuka,Atsuhiro Tomioka,"January 29, 2017",TBA,,,,,,
775,29,"""Save Zunesha! The Straw Hat's Rescue Operation!"" Transliteration: ""Zunīsha o Sukue - Mugiwara Resukyū Dai Sakusen!"" (Japanese: 巨象（ズニーシャ）を救え 麦わら救急（レスキュー）大作戦！)",Masahiro Hosoda,Hirohiko Kamisaka,"February 5, 2017",TBA,,,,,,
776,30,"""Saying Goodbye and Descending from the Elephant! Setting Out to Take Back Sanji!"" Transliteration: ""Wakare no Gezō - Sanji Dakkan no Funade!"" (Japanese: 別れの下象 サンジ奪還の船出！)",Yasunori Koyama,Tomohiro Nakayama,"February 12, 2017",TBA,,,,,,
777,31,"""To the Reverie! Princess Vivi and Princess Shirahoshi!"" Transliteration: ""Reverī e - Ōjo Bibi to Shirahoshi Hime"" (Japanese: 世界会議（レヴェリー）へ 王女ビビとしらほし姫)",Katsumi Tokoro,Shōji Yonemura,"February 19, 2017",TBA,,,,,,
778,32,"""To the Reverie! Rebecca and the Cherry Blossom Kingdom!"" Transliteration: ""Reverī e - Rebekka to Sakura Ōkoku"" (Japanese: 世界会議（レヴェリー）へ レベッカとサクラ王国)",Yoshihiro Ueda,Shōji Yonemura,"February 26, 2017",TBA,,,,,,
779,33,"""Kaido Returns! An Imminent Threat to the Worst Generation!"" Transliteration: ""Kaidō Futatabi - Kyōi Semaru Saiaku no Sedai!"" (Japanese: カイドウ再び 脅威迫る最悪の世代！)",Directed by : Kentarō Fujita Storyboarded by : Tetsuya Endō,Jin Tanaka,"March 5, 2017",TBA,,,,,,
Marine Rookie,Marine Rookie,Marine Rookie,Marine Rookie,Marine Rookie,Marine Rookie,Marine Rookie,Marine Rookie,Marine Rookie,Marine Rookie,Marine Rookie,Marine Rookie,Marine Rookie
780,34,"""A Hungry Front! Luffy and the Navy Rookies!"" Transliteration: ""Harapeko Sensen - Rufi to Kaigun Rūkī!"" (Japanese: 空腹（ハラペコ）戦線 ルフィと海軍超新星（ルーキー）！)",Satoshi Itō,Hirohiko Kamisaka,"March 19, 2017",TBA,,,,,,
781,35,"""The Implacable Three! A Big Chase After the Straw Hats!"" Transliteration: ""Shūnen no San-Nin - Mugiwara Ichimi Dai Cheisu!"" (Japanese: 執念の3（さん）人 麦わら一味大追撃戦！)",Yoshihiro Ueda,Tomohiro Nakayama,"March 26, 2017",TBA,,,,,,
782,36,"""The Devil's Fist! A Show Down! Luffy vs. Grount!"" Transliteration: ""Akuma no Kobushi - Kessen! Rufi tai Guranto"" (Japanese: 悪魔の拳 決戦！ルフィVS（たい）グラント)",Directed by : Satoshi Itō Storyboarded by : Tetsuya Endō,Jin Tanaka,"April 2, 2017",TBA,,,,,,
