Orig.,4Kids,No. in season,4Kids title Original Japanese & Funimation titles[14],Directed by,Written by,Rank[n 1] Rating,Original release date,English air date,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
35,34a,35,"""The Belle of the Brawl"" ""Untold Past! Female Warrior Bellemere!"" Transliteration: ""Himerareta Kako! On'nasenshi Berumēru!"" (Japanese: 秘められた過去!女戦士ベルメール!)",Hidehiko Kadota,Michiru Shimada,6 11.5,"August 2, 2000[76]","May 21, 2005[77]",,,,
36,34b,36,"""The Belle of the Brawl"" ""Survive! Mother Bellemere and Nami's Bond!"" Transliteration: ""Ikinuke! Haha Berumēru to Nami no Kizuna!"" (Japanese: 生き抜け!母ベルメールとナミの絆!)",Kōnosuke Uda,Michiru Shimada,5 12.2,"August 9, 2000[78]","May 21, 2005",,,,
37,35,37,"""You Dirty Rat!"" ""Luffy Rises! Result of the Broken Promise!"" Transliteration: ""Rufi Tatsu! Uragirareta Yakusoku no Ketsumatsu!"" (Japanese: ルフィ立つ!裏切られた約束の結末)",Junichi Fujise,Michiru Shimada,5 11.4,"August 16, 2000[79]","May 28, 2005[80]",,,,
38,36,38,"""War of the Species"" ""Luffy in Big Trouble! Fishmen vs. the Luffy Pirates!"" Transliteration: ""Rufi Dai Pinchi! Gyojin vs Rufi Kaizoku-dan"" (Japanese: ルフィ大ピンチ!魚人VSルフィ海賊団)",Yuji Endo,Michiru Shimada,3 13.6,"August 23, 2000[81]","June 4, 2005[82]",,,,
39,37a,39,"""Arms Against Arms"" ""Luffy Submerged! Zoro vs. Hatchan the Octopus!"" Transliteration: ""Rufi Suibotsu! Zoro vs Tako no Hatchan"" (Japanese: ルフィ水没!ゾロVSタコのはっちゃん)",Junji Shimizu,Michiru Shimada,5 14.4,"August 30, 2000[83]","June 11, 2005[84]",,,,
40,37b38a,40,"""Arms Against Arms"" / ""The Comeback Kid"" ""Proud Warriors! Sanji and Usopp's Fierce Battles!"" Transliteration: ""Hokori Takaki Senshi! Gekitō Sanji to Usoppu"" (Japanese: 誇り高き戦士!激闘サンジとウソップ)",Yoko Ikeda,Michiru Shimada,8 13.6,"September 6, 2000[85]","June 11, 2005",,,,
40,37b38a,40,"""Arms Against Arms"" / ""The Comeback Kid"" ""Proud Warriors! Sanji and Usopp's Fierce Battles!"" Transliteration: ""Hokori Takaki Senshi! Gekitō Sanji to Usoppu"" (Japanese: 誇り高き戦士!激闘サンジとウソップ)",Yoko Ikeda,Michiru Shimada,8 13.6,"September 6, 2000[85]","June 18, 2005[86]",,,,
,,,,,,,,,,,,
41,38b,41,"""The Comeback Kid"" ""Luffy at Full Power! Nami's Determination and the Straw Hat!"" Transliteration: ""Rufi Zenkai! Nami no Ketsui to Mugiwara Bōshi"" (Japanese: ルフィ全開!ナミの決意と麦わら帽子)",Munehisa Sakai,Michiru Shimada,4 13.6,"September 13, 2000[87]","June 18, 2005",,,,
42,38c39a,42,"""The Comeback Kid"" / ""Wanted!"" ""Explosion! Fishman Arlong's Fierce Assault From the Sea!"" Transliteration: ""Sakuretsu! Gyojin Āron Umi Kara no Mōkōgeki!"" (Japanese: 炸裂!魚人アーロン海からの猛攻撃!)",Hidehiko Kadota,Michiru Shimada,2 15.0,"September 27, 2000[88]","June 18, 2005",,,,
42,38c39a,42,"""The Comeback Kid"" / ""Wanted!"" ""Explosion! Fishman Arlong's Fierce Assault From the Sea!"" Transliteration: ""Sakuretsu! Gyojin Āron Umi Kara no Mōkōgeki!"" (Japanese: 炸裂!魚人アーロン海からの猛攻撃!)",Hidehiko Kadota,Michiru Shimada,2 15.0,"September 27, 2000[88]","June 25, 2005[89]",,,,
,,,,,,,,,,,,
43,39b,43,"""Wanted!"" ""End of the Fishman Empire! Nami's My Friend!"" Transliteration: ""Gyojin Teikoku no Owari! Nami wa Ore no Nakama da!"" (Japanese: 魚人帝国の終り!ナミは俺の仲間だ!)",Junji Shimizu,Michiru Shimada,2 15.0,"September 27, 2000[88]","June 25, 2005",,,,
44,-,44,"""Setting Out with a Smile! Farewell, Hometown Cocoyashi Village!"" Transliteration: ""Egao no Tabitachi! Saraba Kokyō Kokoyashi Mura"" (Japanese: 笑顔の旅立ち!さらば故郷ココヤシ村)",Kōnosuke Uda,Michiru Shimada,5 13.2,"October 11, 2000[90]",—,,,,
45,39c,45,"""Wanted!"" ""Bounty! Straw Hat Luffy Becomes Known to the World!"" Transliteration: ""Shōkinkubi! Mugiwara no Rufi yo ni Shirewataru"" (Japanese: 賞金首!麦わらのルフィ世に知れ渡る)",Yoko Ikeda,Junki Takegami,6 13.6,"October 25, 2000[91]","June 25, 2005",,,,
Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure
46,—,46,"""Chase Straw Hat! Little Buggy's Big Adventure!"" Transliteration: ""Mugiwara o Oe! Chiisana Bagī no Dai Bōken"" (Japanese: 麦わらを追え!小さなバギーの大冒険)",Munehisa Sakai,Junki Takegami,6 14.4,"November 1, 2000[92]",—,,,,
47,—,47,"""The Wait is Over! The Return of Captain Buggy!"" Transliteration: ""Omachi Ka Ne! Aa Fukkatsu no Bagī Senchō"" (Japanese: お待ちかね!ああ復活のバギー船長)",Hidehiko Kadota,Junki Takegami,8 13.5,"November 8, 2000[93]",—,,,,
Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown
48,40a,48,"""Roguetown"" ""The Town of the Beginning and the End! Landfall at Logue Town!"" Transliteration: ""Hajimari to Owari no Machi – Rōgutaun Jōriku"" (Japanese: 始まりと終わりの町·ローグタウン上陸)",Junichi Fujise,Michiru Shimada,5 15.7,"November 22, 2000[94]","July 2, 2005[95]",,,,
49,40b41a,49,"""Roguetown"" / ""Switched Blades"" ""Kitetsu III and Yubashiri! Zoro’s New Swords and the Woman Sergeant Major!"" Transliteration: ""Sandai Kitetsu to Yubashiri! Zoro no Shintō to Josōchō"" (Japanese: 三代鬼徹と雪走!ゾロの新刀と女曹長)",Yoshihiro Ueda,Michiru Shimada,5 15.7,"November 22, 2000[94]","July 2, 2005",,,,
49,40b41a,49,"""Roguetown"" / ""Switched Blades"" ""Kitetsu III and Yubashiri! Zoro’s New Swords and the Woman Sergeant Major!"" Transliteration: ""Sandai Kitetsu to Yubashiri! Zoro no Shintō to Josōchō"" (Japanese: 三代鬼徹と雪走!ゾロの新刀と女曹長)",Yoshihiro Ueda,Michiru Shimada,5 15.7,"November 22, 2000[94]","July 9, 2005[96]",,,,
,,,,,,,,,,,,
50,—,50,"""Usopp vs. Daddy the Parent! Showdown at High!""[n 2] Transliteration: ""Usoppu vs Kozure no Dadi Mahiru no Kettō"" (Japanese: ウソップVS子連れのダディ真昼の決闘)",Katsumi Tokoro,Michiru Shimada,5 15.2[97],"November 29, 2000[97]",—,,,,
51,41b42a,51,"""Switched Blades"" / ""Sanji Sizzles"" ""Fiery Cooking Battle? Sanji vs. the Beautiful Chef!"" Transliteration: ""Honō no Ryōri Batoru? Sanji vs Bijin Shefu"" (Japanese: 炎の料理バトル?サンジVS美人シェフ)",Munehisa Sakai,Michiru Shimada,6 14.0,"December 6, 2000[98]","July 9, 2005",,,,
51,41b42a,51,"""Switched Blades"" / ""Sanji Sizzles"" ""Fiery Cooking Battle? Sanji vs. the Beautiful Chef!"" Transliteration: ""Honō no Ryōri Batoru? Sanji vs Bijin Shefu"" (Japanese: 炎の料理バトル?サンジVS美人シェフ)",Munehisa Sakai,Michiru Shimada,6 14.0,"December 6, 2000[98]","July 16, 2005[99]",,,,
,,,,,,,,,,,,
52,42b43a,52,"""Sanji Sizzles"" / ""Buggy's Back"" ""Buggy's Revenge! The Man Who Smiles On the Execution Platform!"" Transliteration: ""Bagī no Ribenji! Shokeidai de Warau Otoko!"" (Japanese: バギーのリベンジ!処刑台で笑う男!)",Hidehiko Kadota,Michiru Shimada,5 14.7,"December 13, 2000[100]","July 16, 2005",,,,
52,42b43a,52,"""Sanji Sizzles"" / ""Buggy's Back"" ""Buggy's Revenge! The Man Who Smiles On the Execution Platform!"" Transliteration: ""Bagī no Ribenji! Shokeidai de Warau Otoko!"" (Japanese: バギーのリベンジ!処刑台で笑う男!)",Hidehiko Kadota,Michiru Shimada,5 14.7,"December 13, 2000[100]","July 23, 2005[101]",,,,
,,,,,,,,,,,,
53,43b,53,"""Buggy's Back"" ""The Legend Has Started! Head for the Grand Line!"" Transliteration: ""Densetsu wa Hajimatta! Mezase Idai Naru Kōro"" (Japanese: 伝説は始まった!目指せ偉大なる航路)",Ken Koyama,Michiru Shimada,6 14.1,"January 10, 2001[102]","July 23, 2005",,,,
Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island
54,—,54,"""Precursor to a New Adventure! Apis, a Mysterious Girl!"" Transliteration: ""Arata Naru Bōken no Yokan! Nazo no Shōjo Apisu"" (Japanese: 新たなる冒険の予感!謎の少女アピス)",Kōnosuke Uda,Junki Takegami,8 14.1,"January 17, 2001[103]",—,,,,
55,—,55,"""Miraculous Creature! Apis' Secret and the Legendary Island!"" Transliteration: ""Kiseki no Seibutsu! Apisu no Himitsu to Densetsu no Shima"" (Japanese: 奇跡の生物!アピスの秘密と伝説の島)",Harume Kosaka,Junki Takegami,7 15.3,"January 24, 2001[104]",—,,,,
56,—,56,"""Eric Attacks! Great Escape from Warship Island!"" Transliteration: ""Erikku Shutsugeki! Gunkanjima Kara no Dai Dasshutsu!"" (Japanese: エリック出撃!軍艦島からの大脱出!)",Hidehiko Kadota,Junki Takegami,6 14.7,"January 31, 2001[105]",—,,,,
57,—,57,"""A Solitary Island in the Distant Sea! The Legendary Lost Island!"" Transliteration: ""Zekkai no Kotō! Densetsu no Rosuto Airando"" (Japanese: 絶海の孤島!伝説のロストアイランド)",Yoko Ikeda,Junki Takegami,8 14.6,"February 7, 2001[106]",—,,,,
58,—,58,"""Showdown in the Ruins! Tense Zoro vs. Eric!"" Transliteration: ""Haikyō no Kettō! Kinpaku no Zoro tai Erikku!"" (Japanese: 廃虚の決闘!緊迫のゾロVSエリック)",Munehisa Sakai,Junki Takegami,5 16.6,"February 21, 2001[107]",—,,,,
59,—,59,"""Luffy, Completely Surrounded! Commodore Nelson's Secret Strategy!"" Transliteration: ""Rufu Kanzen Hōi! Teitoku Neruson no Hissaku"" (Japanese: ルフィ完全包囲!提督ネルソンの秘策)",Junichi Fujise,Junki Takegami,5 16.6,"February 21, 2001[107]",—,,,,
60,—,60,"""Through the Sky They Soar! The 1000 Year Legend Lives Again!"" Transliteration: ""Ōsora o Mau Mono! Yomigaeru Sennen no Densetsu!"" (Japanese: 大空を舞うもの!甦る千年の伝説)",Yoshihiro Ueda,Junki Takegami,4 16.3,"February 28, 2001[108]",—,,,,
61,44a,61,"""Fantastic Voyage"" ""An Angry Showdown! Cross the Red Line!"" Transliteration: ""Ikari no Ketchaku! Akai Dairiku o Norikoero!"" (Japanese: 怒りの決着!赤い大陸を乗り越えろ!)",Hidehiko Kadota,Junki Takegami,4 16.0,"March 7, 2001[109]","July 30, 2005[110]",,,,
