0,1,"('Season', 'Season')","('Season title', 'Season title')","('Episodes', 'Episodes')","('Episodes', 'Episodes.1')","('Originally released', 'First released')","('Originally released', 'Last released')",Orig.,4Kids,No. in season,4Kids title Original Japanese & Funimation titles[14],Directed by,Written by,Rank[n 1] Rating,Original release date,English air date,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,4Kids title Original Japanese & Funimation titles[111],4Kids title/Funimation title Original Japanese title,4Kids title / Funimation title Original Japanese title,Unnamed: 8,4Kids title / Funimation title Original Japanese title[264],No. overall,Title [264],English air date [n 10],Unnamed: 7,Title,English air date [n 12],English air date [n 13],No.,Unnamed: 3,Volume,Volume.1,Volume.2,Episodes,Release date,Ref.,"('Volume', 'Volume')","('Volume', 'Volume.1')","('Volume', 'Volume.2')","('Release date', 'USA')","('Release date', 'Australia')","('ISBN', 'ISBN')","('Ref.', 'Ref.')","('Release date', 'UK')",vteOne Piece by Eiichiro Oda,vteOne Piece by Eiichiro Oda.1,vteOne Piece by Eiichiro Oda.2
,,10.0,Thriller Bark,45,45,"January 6, 2008","December 14, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11.0,Sabaody Archipelago,26,26,"December 21, 2008","June 28, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12.0,Island of Women,14,14,"July 5, 2009","October 11, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13.0,Impel Down,35,35,"October 18, 2009","June 20, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14.0,Marineford,60,60,"June 27, 2010","September 25, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15.0,Fishman Island,62,62,"October 2, 2011","December 23, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16.0,Punk Hazard,50,50,"January 6, 2013","January 12, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17.0,Dressrosa,118,118,"January 19, 2014","June 19, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.0,Zou,36,36,"June 26, 2016","April 2, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.0,Whole Cake Island,109,109,"April 9, 2017","June 30, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20.0,Wano Country,197,197,"July 7, 2019","December 17, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21.0,Egghead,67,67,"January 7, 2024","December 28, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22.0,Elbaph,TBA,TBA,"April 5, 2026",TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1,"""I'm Gonna Be King of the Pirates!"" ""I'm Luffy! The Man Who's Gonna Be King of the Pirates!"" Transliteration: ""Ore wa Rufi! Kaizoku Ō ni Naru Otoko Da!"" (Japanese: 俺はルフィ!海賊王になる男だ!)",Kōnosuke Uda,Junki Takegami,6 12.4,"October 20, 1999[15]","September 18, 2004[16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,2,2,"""Roronoa Zoro: Pirate Hunter"" ""Enter the Great Swordsman! Pirate Hunter Roronoa Zoro!"" Transliteration: ""Daikengō Arawaru! Kaizokugari Roronoa Zoro"" (Japanese: 大剣豪現る!海賊狩りロロノア·ゾロ)",Tetsuji Nakamura,Michiru Shimada,9 11.7,"November 17, 1999[17]","September 25, 2004[18]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,3,3,"""An Unlikely Pair: The Pirate & The Pirate Hunter"" ""Morgan versus Luffy! Who's the Mysterious Pretty Girl?"" Transliteration: ""Mōgan tai Rufi! Nazo no Bishōjo wa Dare?"" (Japanese: モーガンVSルフィ!謎の美少女は誰?)",Hidehiko Kadota,Michiru Shimada,7 13.3,"November 24, 1999[19]","October 2, 2004[20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,4,4,"""The Passing Of The Hat"" ""Luffy's Past! Enter Red-Haired Shanks!"" Transliteration: ""Rufi no Kako! Akagami no Shankusu Tōjō"" (Japanese: ルフィの過去!赤髪のシャンクス登場)",Munehisa Sakai,Junki Takegami,9 12.9,"December 8, 1999[21]","October 9, 2004[22]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Orange Town,Orange Town,Orange Town,Orange Town,Orange Town,Orange Town,Orange Town,Orange Town,Orange Town,Orange Town,Orange Town,Orange Town,Orange Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,5,5,"""The Circus Comes To Town"" ""A Terrifying Mysterious Power! Captain Buggy, the Clown Pirate!"" Transliteration: ""Kyōfu Nazo no Chikara! Kaizoku Dōke Bagī-senchō!"" (Japanese: 恐怖!謎の力·海賊道化バギー船長!)",Junichi Fujise,Junki Takegami,8 13.5,"December 15, 1999[23]","October 16, 2004[24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,6,6,"""The Beast Breaker"" ""Desperate Situation! Beast Tamer Mohji vs. Luffy!"" Transliteration: ""Zettai Zetsumei! Mōjūtsukai Mōji VS Rufi!"" (Japanese: 絶体絶命!猛獣使いモージvsルフィ!)",Shigeyasu Yamauchi,Mitsuru Shimada,1 12.3,"December 29, 1999[25]","October 23, 2004[26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,7,7,"""The Desperate Duel"" ""Epic Showdown! Swordsman Zoro vs. Acrobat Cabaji!"" Transliteration: ""Sōzetsu Kettō! Kengō Zoro VS Kyokugei no Kabaji!"" (Japanese: 壮絶決闘!剣豪ゾロvs曲芸のカバジ!)",Tetsuji Nakamura,Mitsuru Shimada,1 12.3,"December 29, 1999[25]","October 30, 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,8,8,"""Who Gets the Last Laugh?"" ""Who is the Victor? Devil Fruit Power Showdown!"" Transliteration: ""Shōsha wa Dotchi? Akuma no Mi no Nōryoku Taiketsu!"" (Japanese: 勝者はどっち?悪魔の実の能力対決!)",Kōnosuke Uda,Michiru Shimada,1 12.3,"December 29, 1999[25]","November 6, 2004[27]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syrup Village,Syrup Village,Syrup Village,Syrup Village,Syrup Village,Syrup Village,Syrup Village,Syrup Village,Syrup Village,Syrup Village,Syrup Village,Syrup Village,Syrup Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,9,9,"""The Teller of Tales"" ""The Honorable Liar? Captain Usopp!"" Transliteration: ""Seigi no Usotsuki? Kyaputen Usoppu"" (Japanese: 正義のうそつき?キャプテンウソップ)",Hidehiko Kadota,Junki Takegami,8 11.4,"January 12, 2000[28]","November 13, 2004[29]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,10a,10,"""The Bluff and the Bluffer""  ""The Weirdest Guy Ever! Jango the Hypnotist!"" Transliteration: ""Shijō Saikyō no Hen na Yatsu! Saiminjutsushi Jango"" (Japanese: 史上最強の変な奴!催眠術師ジャンゴ)",Munehisa Sakai,Junki Takegami,9 12.7,"January 19, 2000[30]","November 20, 2004[31]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,10b11a,11,"""The Bluff and the Bluffer"" / ""The War at the Shore""  ""Expose the Plot! Pirate Butler, Captain Kuro!"" Transliteration: ""Inbō o Abake! Kaizoku Shitsuji Kyaputen Kuro"" (Japanese: 陰謀を暴け!海賊執事キャプテンクロ)",Shigeyasu Yamauchi,Junki Takegami,8 12.1,"January 26, 2000[32]","November 20, 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,10b11a,11,"""The Bluff and the Bluffer"" / ""The War at the Shore""  ""Expose the Plot! Pirate Butler, Captain Kuro!"" Transliteration: ""Inbō o Abake! Kaizoku Shitsuji Kyaputen Kuro"" (Japanese: 陰謀を暴け!海賊執事キャプテンクロ)",Shigeyasu Yamauchi,Junki Takegami,8 12.1,"January 26, 2000[32]","November 27, 2004[33]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,11b,12,"""The War at the Shore""  ""Clash with the Black Cat Pirates! The Great Battle on the Slope!"" Transliteration: ""Gekitotsu! Kuroneko Kaizoku-dan Sakamichi no Daikōbō!"" (Japanese: 激突!クロネコ海賊団坂道の大攻防!)",Junichi Fujise,Junki Takegami,9 13.2,"February 2, 2000[34]","November 27, 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,12,13,"""The Black Cat Pirates"" ""The Terrifying Duo! Meowban Brothers vs. Zoro!"" Transliteration: ""Kyōfu no Futarigumi! Nyāban Burazāsu VS Zoro"" (Japanese: 恐怖の二人組!ニャーバン兄弟VSゾロ)",Hidehiko Kadota,Junki Takegami,7 14.7,"February 9, 2000[35]","December 4, 2004[36]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,13,14,"""Good Pirates vs. Bad Pirates"" ""Luffy Back in Action! Miss Kaya's Desperate Resistance!"" Transliteration: ""Rufi Fukkatsu! Kaya-ojōsama no Kesshi no Teikō"" (Japanese: ルフィ復活!カヤお嬢様の決死の抵抗)",Yukio Kaizawa,Junki Takegami,10 12.8,"February 16, 2000[37]","December 11, 2004[38]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,14,15,"""The Purr-fect plan"" ""Beat Kuro! Usopp the Man's Tearful Resolve!"" Transliteration: ""Kuro o Taose! Otoko Usoppu Namida no Ketsui!"" (Japanese: クロを倒せ!男ウソップ涙の決意!)",Kōnosuke Uda,Junki Takegami,6 14.4,"February 23, 2000[39]","December 18, 2004[40]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,16,15,16,"""The Long Arm of the Claw"" ""Protect Kaya! The Usopp Pirates' Great Efforts!"" Transliteration: ""Kaya o Mamore! Usoppu Kaizoku-dan dai Katsuyaku!"" (Japanese: カヤを守れ!ウソップ海賊団大活躍!)",Munehisa Sakai,Junki Takegami,8 13.9,"March 1, 2000[41]","January 8, 2005[42]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,17,16,17,"""The Cat's Ninth Life"" ""Anger Explosion! Kuro vs. Luffy! How it Ends!"" Transliteration: ""Ikari Bakuhatsu! Kuro vs Rufi Ketchaku no Yukue!"" (Japanese: 怒り爆発!クロVSルフィ決着の行方!)",Hidehiko Kadota,Junki Takegami,9 14.1,"March 8, 2000[43]","January 15, 2005[44]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18,17,18,"""The Scrub in the Shrub"" ""You're the Weird Creature! Gaimon and His Strange Friends!"" Transliteration: ""Anta ga Chinjū! Gaimon to Kimyō na Nakama"" (Japanese: あんたが珍獣!ガイモンと奇妙な仲間)",Junichi Fujise,Michiru Shimada,9 12.0,"March 15, 2000[45]","January 22, 2005[46]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Baratie,Baratie,Baratie,Baratie,Baratie,Baratie,Baratie,Baratie,Baratie,Baratie,Baratie,Baratie,Baratie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,19,18,19,"""Zoro's Pledge"" ""The Three-Sword Style's Past! Zoro and Kuina's Vow!"" Transliteration: ""Santōryū no Kako! Zoro to Kuina no Chikai!"" (Japanese: 三刀流の過去!ゾロとくいなの誓い!)",Kōnosuke Uda,Junki Takegami,4 14.3,"March 22, 2000[47]","January 29, 2005[48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20,19,20,"""King of the Busboys"" ""Famous Cook! Sanji of the Sea Restaurant!"" Transliteration: ""Meibutsu Kokku! Kaijō Resutoran no Sanji"" (Japanese: 名物コック!海上レストランのサンジ)",Yukio Kaizawa,Junki Takegami,3 15.0,"April 12, 2000[49]","February 5, 2005[50]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21,20,21,"""Respecting Sanji"" ""Unwelcome Customer! Sanji's Food and Ghin's Debt!"" Transliteration: ""Manekarezaru Kyaku! Sanji no Meshi to Ghin no On"" (Japanese: 招かれざる客!サンジの飯とギンの恩)",Hidehiko Kadota,Junki Takegami,3 15.0,"April 12, 2000[49]","February 12, 2005[51]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,22,21,22,"""Recipe for Disaster"" ""The Strongest Pirate Fleet! Commodore Don Krieg!"" Transliteration: ""Saikyō no Kaizoku Kantai! Teitoku Don Kurīku"" (Japanese: 最強の海賊艦隊!提督ドン·クリーク)",Yukio Kaizawa,Junki Takegami,8 12.2,"April 26, 2000[52]","February 19, 2005[53]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,23,22,23,"""The Red Footed Pirate"" ""Protect Baratie! The Great Pirate, Red Foot Zeff!"" Transliteration: ""Mamore Baratie! Dai Kaizoku – Akaashi no Zefu"" (Japanese: 守れバラティエ!大海賊·赫足のゼフ)",Munehisa Sakai,Junki Takegami,—,"May 3, 2000","February 26, 2005[54]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24,23,24,"""The Better Swordsman"" ""Hawk-Eye Mihawk! The Great Swordsman Zoro Falls At Sea!"" Transliteration: ""Taka no Me no Mihōku! Kengō Zoro Umi ni Chiru"" (Japanese: 鷹の目のミホーク!剣豪ゾロ海に散る)",Hidehiko Kadota,Mitsuri Shimada,8 11.9,"May 10, 2000[55]","March 5, 2005[56]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,24,25,"""Pearl Jam"" ""The Deadly Foot Technique Bursts Forth! Sanji vs. The Invincible Pearl!"" Transliteration: ""Hissatsu Ashiwaza Sakuretsu! Sanji vs Teppeki no Pāru"" (Japanese: 必殺足技炸裂!サンジVS鉄壁のパール)",Yuji Endo,Mitsuri Shimada,5 13.7,"May 17, 2000[57]","March 12, 2005[58]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26,25,26,"""Stranded"" ""Zeff and Sanji's Dream! The Illusory All Blue!"" Transliteration: ""Zefu to Sanji no Yume Maboroshi no Ōruburū"" (Japanese: ゼフとサンジの夢·幻のオールブルー)",Mitsuru Shimada,Munehisa Sakai,7 13.1,"May 24, 2000[59]","March 19, 2005[60]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,26,27,"""Here We Go A Ghin"" ""Cool-headed, Cold-hearted Demon! Pirate Fleet Chief Commander Gin!"" Transliteration: ""Reitetsu Hijō no Kijin Kaizoku Kantai Sōchō Gin"" (Japanese: 冷徹非情の鬼人·海賊艦隊総隊長ギン)",Kōnosuke Uda,Junki Takegami,3 14.2,"May 31, 2000[61]","March 26, 2005[62]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,28,27,28,"""Blitz Krieg"" ""I Won't Die! Fierce Battle! Luffy vs. Krieg!"" Transliteration: ""Shinanee yo! Gekitō Rufi vs Kurīku!"" (Japanese: 死なねェよ!激闘ルフィVSクリーク!)",Junji Shimizu,Junki Takegami,9 12.1,"June 7, 2000[63]","April 2, 2005[64]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29,28,29,"""The Crack of Don"" ""The Conclusion of the Deadly Battle! A Spear of Blind Determination!"" Transliteration: ""Shitō no Ketchaku! Hara ni Kukutta Ippon no Yari!"" (Japanese: 決闘の決着!腹にくくった1本の槍!)",Junichi Fujise,Junki Takegami,10 10.6,"June 21, 2000[65]","April 9, 2005[66]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30,29,30,"""New Crew"" ""Set Sail! The Seafaring Cook Sets off With Luffy!"" Transliteration: ""Tabidachi! Umi no Kokku wa Rufi to Tomo Ni"" (Japanese: 旅立ち!海のコックはルフィとともに)",Hidehiko Kadota,Junki Takegami,6 13.2,"June 28, 2000[67]","April 16, 2005[68]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Arlong Park,Arlong Park,Arlong Park,Arlong Park,Arlong Park,Arlong Park,Arlong Park,Arlong Park,Arlong Park,Arlong Park,Arlong Park,Arlong Park,Arlong Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,30,31,"""The Mermen"" ""The Worst Man in the Eastern Seas! Fishman Pirate Arlong!"" Transliteration: ""Higashi no Umi Saiaku no Otoko! Gyojin Kaizoku Āron!"" (Japanese: 東の海最悪の男!魚人海賊アーロン!)",Yuji Endo,Michiru Shimada,8 11.5,"July 12, 2000[69]","April 23, 2005[70]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,31,32,"""The Thief With a Heart of Gold"" ""Witch of Cocoyashi Village! Arlong's Female Leader!"" Transliteration: ""Kokoyashi Mura no Majo! Āron no On'nakanbu"" (Japanese: ココヤシ村の魔女!アーロンの女幹部)",Munehisa Sakai,Michiru Shimada,2 13.1,"July 19, 2000[71]","April 30, 2005[72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,33,32,33,"""The Marked Marksman"" ""Usopp Dead?! When is Luffy Going to Make Landfall?!"" Transliteration: ""Usoppu Shisu? Rufi Jōriku wa Mada?"" (Japanese: ウソップ死す!?ルフィ上陸はまだ?)",Yukio Kaizawa,Michiru Shimada,2 13.1,"July 19, 2000[71]","May 7, 2005[73]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,34,33,34,"""It Takes A Thief"" ""Everyone's Gathered! Usopp Speaks the Truth About Nami!"" Transliteration: ""Zen'in Shūketsu! Usoppu ga Kataru Nami no Shinjitsu"" (Japanese: 全員集結!ウソップが語るナミの真実)",Junji Shimizu,Michiru Shimada,5 12.7,"July 26, 2000[74]","May 14, 2005[75]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,35,34a,35,"""The Belle of the Brawl"" ""Untold Past! Female Warrior Bellemere!"" Transliteration: ""Himerareta Kako! On'nasenshi Berumēru!"" (Japanese: 秘められた過去!女戦士ベルメール!)",Hidehiko Kadota,Michiru Shimada,6 11.5,"August 2, 2000[76]","May 21, 2005[77]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36,34b,36,"""The Belle of the Brawl"" ""Survive! Mother Bellemere and Nami's Bond!"" Transliteration: ""Ikinuke! Haha Berumēru to Nami no Kizuna!"" (Japanese: 生き抜け!母ベルメールとナミの絆!)",Kōnosuke Uda,Michiru Shimada,5 12.2,"August 9, 2000[78]","May 21, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,37,35,37,"""You Dirty Rat!"" ""Luffy Rises! Result of the Broken Promise!"" Transliteration: ""Rufi Tatsu! Uragirareta Yakusoku no Ketsumatsu!"" (Japanese: ルフィ立つ!裏切られた約束の結末)",Junichi Fujise,Michiru Shimada,5 11.4,"August 16, 2000[79]","May 28, 2005[80]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,38,36,38,"""War of the Species"" ""Luffy in Big Trouble! Fishmen vs. the Luffy Pirates!"" Transliteration: ""Rufi Dai Pinchi! Gyojin vs Rufi Kaizoku-dan"" (Japanese: ルフィ大ピンチ!魚人VSルフィ海賊団)",Yuji Endo,Michiru Shimada,3 13.6,"August 23, 2000[81]","June 4, 2005[82]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,39,37a,39,"""Arms Against Arms"" ""Luffy Submerged! Zoro vs. Hatchan the Octopus!"" Transliteration: ""Rufi Suibotsu! Zoro vs Tako no Hatchan"" (Japanese: ルフィ水没!ゾロVSタコのはっちゃん)",Junji Shimizu,Michiru Shimada,5 14.4,"August 30, 2000[83]","June 11, 2005[84]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,40,37b38a,40,"""Arms Against Arms"" / ""The Comeback Kid"" ""Proud Warriors! Sanji and Usopp's Fierce Battles!"" Transliteration: ""Hokori Takaki Senshi! Gekitō Sanji to Usoppu"" (Japanese: 誇り高き戦士!激闘サンジとウソップ)",Yoko Ikeda,Michiru Shimada,8 13.6,"September 6, 2000[85]","June 11, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,40,37b38a,40,"""Arms Against Arms"" / ""The Comeback Kid"" ""Proud Warriors! Sanji and Usopp's Fierce Battles!"" Transliteration: ""Hokori Takaki Senshi! Gekitō Sanji to Usoppu"" (Japanese: 誇り高き戦士!激闘サンジとウソップ)",Yoko Ikeda,Michiru Shimada,8 13.6,"September 6, 2000[85]","June 18, 2005[86]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,41,38b,41,"""The Comeback Kid"" ""Luffy at Full Power! Nami's Determination and the Straw Hat!"" Transliteration: ""Rufi Zenkai! Nami no Ketsui to Mugiwara Bōshi"" (Japanese: ルフィ全開!ナミの決意と麦わら帽子)",Munehisa Sakai,Michiru Shimada,4 13.6,"September 13, 2000[87]","June 18, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,42,38c39a,42,"""The Comeback Kid"" / ""Wanted!"" ""Explosion! Fishman Arlong's Fierce Assault From the Sea!"" Transliteration: ""Sakuretsu! Gyojin Āron Umi Kara no Mōkōgeki!"" (Japanese: 炸裂!魚人アーロン海からの猛攻撃!)",Hidehiko Kadota,Michiru Shimada,2 15.0,"September 27, 2000[88]","June 18, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,42,38c39a,42,"""The Comeback Kid"" / ""Wanted!"" ""Explosion! Fishman Arlong's Fierce Assault From the Sea!"" Transliteration: ""Sakuretsu! Gyojin Āron Umi Kara no Mōkōgeki!"" (Japanese: 炸裂!魚人アーロン海からの猛攻撃!)",Hidehiko Kadota,Michiru Shimada,2 15.0,"September 27, 2000[88]","June 25, 2005[89]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,43,39b,43,"""Wanted!"" ""End of the Fishman Empire! Nami's My Friend!"" Transliteration: ""Gyojin Teikoku no Owari! Nami wa Ore no Nakama da!"" (Japanese: 魚人帝国の終り!ナミは俺の仲間だ!)",Junji Shimizu,Michiru Shimada,2 15.0,"September 27, 2000[88]","June 25, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,44,-,44,"""Setting Out with a Smile! Farewell, Hometown Cocoyashi Village!"" Transliteration: ""Egao no Tabitachi! Saraba Kokyō Kokoyashi Mura"" (Japanese: 笑顔の旅立ち!さらば故郷ココヤシ村)",Kōnosuke Uda,Michiru Shimada,5 13.2,"October 11, 2000[90]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,45,39c,45,"""Wanted!"" ""Bounty! Straw Hat Luffy Becomes Known to the World!"" Transliteration: ""Shōkinkubi! Mugiwara no Rufi yo ni Shirewataru"" (Japanese: 賞金首!麦わらのルフィ世に知れ渡る)",Yoko Ikeda,Junki Takegami,6 13.6,"October 25, 2000[91]","June 25, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
