No. overall,No. in season,Title,Directed by,Written by,Original release date,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
435,14,"""Mighty Magellan! Bon Clay Bugs Out!"" Transliteration: ""Mazeran Tsuyoshi! Bon Kurē Tekizen Tōbō"" (Japanese: マゼラン強し! ボン・クレー敵前逃亡)",Takahiro Imamura,Yoshiyuki Suga,"January 24, 2010[184]",,,,,,,
436,15,"""The Showdown Has Come! Luffy's Desperate Last Attack!"" Transliteration: ""Shiyū Kessu! Sutemi no Rufi Saigo no Ichigeki"" (Japanese: 雌雄決す! 捨て身のルフィ最後の一撃)",Hiroaki Miyamoto,Hitoshi Tanaka,"January 31, 2010[185]",,,,,,,
437,16,"""For His Friend! Bon Clay Goes to the Deadly Rescue!"" Transliteration: ""Dachi dakara – Bon Kurē Kesshi no Kyūshutsugyō"" (Japanese: 友達だから　ボン・クレー決死の救出行)",Yoshihiro Ueda,Yoshiyuki Suga,"February 7, 2010[186]",,,,,,,
438,17,"""A Paradise in Hell! Impel Down – Level 5.5!"" Transliteration: ""Jigoku ni Rakuen! Inperu Daun Reberu Go ten Go"" (Japanese: 地獄に楽園! インペルダウン LV5.5)",Yoshihiro Ueda,Hirohiko Kamisaka,"February 14, 2010[187]",,,,,,,
439,18,"""Luffy's Treatment Begins! Iva's Miraculous Power!"" Transliteration: ""Rufi Chiryō Kaishi! Iwa-san Kiseki no Chikara"" (Japanese: ルフィ治療開始! イワさん奇跡の能力)",Tetsuya Endō,Hirohiko Kamisaka,"February 21, 2010[188]",,,,,,,
440,19,"""Believe in Miracles! Bon Clay's Cries From the Heart!"" Transliteration: ""Kiseki o Shinjite! Bon Kurē Tamashii no Seien"" (Japanese: 奇跡を信じて! ボン・クレー魂の声援)",Yutaka Nakashima,Yoshiyuki Suga,"February 28, 2010[189]",,,,,,,
441,20,"""Luffy Back In Action! Iva Begins the Breakout Plan!"" Transliteration: ""Rufi Fukkatsu! Iwa-san Datsugoku Keikaku Shidō!!"" (Japanese: ルフィ復活! イワさん脱獄計画始動!!)",Katsumi Tokoro,Hitoshi Tanaka,"March 7, 2010[190]",,,,,,,
442,21,"""Ace's Convoy Begins! Battle on the Lowest Floor – Level 6!"" Transliteration: ""Ēsu Gosō Kaishi – Saikasō Reberu Shikkusu Kōbō"" (Japanese: エース護送開始 最下層ＬＶ６の攻防!)",Sumio Watanabe,Hitoshi Tanaka,"March 14, 2010[191]",,,,,,,
443,22,"""The Ultimate Team Has Formed! Shaking Impel Down!"" Transliteration: ""Saikyō Chīmu Kessei – Shinkan! Inperudaun"" (Japanese: 最強チーム結成 震撼! インペルダウン)",Tetsuya Endō,Yoshiyuki Suga,"March 21, 2010[192]",,,,,,,
444,23,"""Even More Chaos! Here Comes Blackbeard Teach!"" Transliteration: ""Saranaru Konran! Kurohige Tīchi Shūrai!"" (Japanese: さらなる混乱! 黒ひげ・ティーチ襲来!)",Takahiro Imamura,Hirohiko Kamisaka,"March 28, 2010[193]",,,,,,,
445,24,"""The Dangerous Encounter! Blackbeard and Shiryu of the Rain!"" Transliteration: ""Kiken na Deai! Kurohige to Ame no Shiryū"" (Japanese: 危険な出会い！黒ひげと雨のシリュウ)",Yoshihiro Ueda,Yoshiyuki Suga,"April 4, 2010[194]",,,,,,,
446,25,"""Refusal to be Defeated! Serious Hannyabal"" Transliteration: ""Iji demo Taorenu! Honki no Hannyabaru"" (Japanese: 意地でも倒れぬ！本気のハンニャバル)",Yutaka Nakashima,Hitoshi Tanaka,"April 11, 2010[195]",,,,,,,
447,26,"""Jet Pistol of Anger! Luffy vs. Blackbeard!"" Transliteration: ""Ikari no Jetto Pisutoru – Rufi vs Kurohige"" (Japanese: 怒りのJETピストル　ルフィvs黒ヒゲ)",Makoto Sonoda,Yoshiyuki Suga,"April 18, 2010[196]",,,,,,,
448,27,"""Stop Magellan! Ivan-san's Esoteric Technique Explodes!"" Transliteration: ""Mazeran o Tomero! Iwa-san Ōgi Sakuretsu"" (Japanese: マゼランを止めろ！イワさん奥義炸裂)",Tetsuya Endō,Yoshiyuki Suga,"April 25, 2010[197]",,,,,,,
449,28,"""Magellan's Tricky Move! A Foiled Escape Plan!"" Transliteration: ""Mazeran no Kisaku! Habamareta Datsugoku Sakusen"" (Japanese: マゼランの奇策！はばまれた脱獄計画)",Hiroyuki Satō,Hitoshi Tanaka,"May 2, 2010[198]",,,,,,,
450,29,"""The Escapee Team in Trouble! The Forbidden Move: Venom Demon!"" Transliteration: ""Datsugoku Chīmu Zettaizetsumei – Kinjite 'Benomu Dēmon'"" (Japanese: 脱獄チーム絶体絶命 禁じ手""毒の巨兵"")",Katsumi Tokoro,Hirohiko Kamisaka,"May 9, 2010[199]",,,,,,,
451,30,"""Come, Final Miracle! Break Through the Gate of Justice!"" Transliteration: ""Okose Saigo no Kiseki – Seigi no Mon o Toppaseyo"" (Japanese: 起こせ最後の奇跡 正義の門を突破せよ)",Takahiro Imamura,Yoshiyuki Suga,"May 16, 2010[200]",,,,,,,
452,31,"""To the Navy Headquarters! Off to Rescue Ace!"" Transliteration: ""Mezase Kaigun Honbu – Ēsu Kyūshutsu e no Funade"" (Japanese: 目指せ海軍本部 エース救出への船出!)",Yoshihiro Ueda,Hitoshi Tanaka,"May 23, 2010[201]",,,,,,,
453,32,"""The Friends' Whereabouts! The Weatheria Report and the Cyborg Animals!"" Transliteration: ""Nakama-tachi no Yukue – Wezaria Ripōto to Saibōgu Animaru"" (Japanese: 仲間達の行方 空島リポートと改造動物)",Directed by : Aya Komaki Storyboarded by : Tetsuya Endō,Hitoshi Tanaka,"May 30, 2010[202]",,,,,,,
454,33,"""The Friends' Whereabouts! The Chick of a Giant Bird and a Pink Showdown!"" Transliteration: ""Nakama-tachi no Yukue – Kyochō no Hina to Momoiro no Taiketsu"" (Japanese: 仲間達の行方 巨鳥のヒナと桃色の対決)",Yutaka Nakashima,Yoshiyuki Suga,"June 6, 2010[203]",,,,,,,
455,34,"""The Friends' Whereabouts! Revolutionaries and the Gorging Forest's Trap"" Transliteration: ""Nakama-tachi no Yukue – Kakumeigun to Bōshoku no Mori no Wana!"" (Japanese: 仲間達の行方 革命軍と暴食の森の罠!)",Gō Koga,Hirohiko Kamisaka,"June 13, 2010[204]",,,,,,,
456,35,"""The Friends' Whereabouts! A Huge Tomb and the Panty Debt!"" Transliteration: ""Nakama-tachi no Yukue – Kyodai no Hakajirushi to Pantsu no On"" (Japanese: 仲間達の行方 巨大の墓標とパンツの恩)",Katsumi Tokoro,Hirohiko Kamisaka,"June 20, 2010[205]",,,,,,,
