No. overall [n 1],No. in season,Title [n 2],Directed by,Written by,Animation directed by,Original release date [n 3],Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn,Romance Dawn
907,16,"""20th Anniversary Special! Romance Dawn"" Transliteration: ""20-Shūnen! - Tokubetsu-hen Romansu Dōn"" (Japanese: 20周年！特別編ロマンスドーン)",Kōhei Kureta,Shōji Yonemura,Kimitaka Itō & Eisaku Inoue,"October 20, 2019",,,,,,
Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country
908,17,"""The Coming of the Treasure Ship! Luffytaro Returns the Favor!"" Transliteration: ""Takarabune Tōrai – Rufitarō no Ongaeshi!"" (Japanese: 宝船到来 ルフィ太郎の恩返し！)",Yutaka Nakashima,Hitoshi Tanaka,Toshio Deguchi,"October 27, 2019",,,,,,
909,18,"""Mysterious Grave Markers! A Reunion at the Ruins of Oden Castle!"" Transliteration: ""Nazo no Bohyō – Oden Jōseki de no Saikai!"" (Japanese: 謎の墓標 おでん城跡での再会！)",Aya Komaki,Tomohiro Nakayama,Kenji Yokoyama,"November 10, 2019",,,,,,
910,19,"""A Legendary Samurai! The Man Who Roger Admired!"" Transliteration: ""Densetsu no Samurai – Rojā ga Horeta Otoko!"" (Japanese: 伝説の侍 ロジャーが惚れた男！)",Satoshi Itō,Shinzō Fujita,Kazuya Hisada,"November 17, 2019",,,,,,
911,20,"""Bringing Down the Emperor of the Sea! A Secret Raid Operation Begins!"" Transliteration: ""Datō Yonkō – Gokuhi Uchiiri Sakusen Hatsudō"" (Japanese: 打倒四皇 極秘討ち入り作戦発動)",Daisuke Nakajima,Ryo Yamazaki,Masahiro Kitazaki,"November 24, 2019",,,,,,
912,21,"""The Strongest Man in the World! Shutenmaru, the Thieves Brigade Chief!"" Transliteration: ""Saikyō no Otoko – Tōzoku-dan Tōryō: Shutenmaru!"" (Japanese: 最強の男 盗賊団棟梁・酒天丸！)",Directed by : Masahiro Hosoda Storyboarded by : Akitaro Daichi,Akiko Inoue,Masayuki Takagi,"December 1, 2019",,,,,,
913,22,"""Everyone is Annihilated! Kaido's Furious Blast Breath!"" Transliteration: ""Zen'in Shōmetsu – Kaidō Ikari no Boro Buresu!"" (Japanese: 全員消滅 カイドウ怒りのボロブレス！)",Yusuke Suzuki,Tomohiro Nakayama,Eisaku Inoue,"December 8, 2019",,,,,,
914,23,"""Finally Clashing! The Ferocious Luffy vs. Kaido!"" Transliteration: ""Tsuini Gekitotsu – Mōkō Rufi tai Kaidō"" (Japanese: 遂に激突 猛攻ルフィVSカイドウ)",Yasunori Koyama,Shinzō Fujita,Masahiro Shimanuki & Kimitaka Itō,"December 15, 2019",,,,,,
915,24,"""Destructive! One Shot, One Kill – Thunder Bagua!"" Transliteration: ""Hakai-teki! Ichigeki Hissatsu no Raimei Hakke!"" (Japanese: 破壊的！一撃必殺の雷鳴八卦！)",Katsumi Tokoro,Ryo Yamazaki,Shigefumi Shingaki,"December 22, 2019",,,,,,
916,25,"""A Living Hell! Luffy, Humiliated in the Great Mine!"" Transliteration: ""Iki-Jigoku! Rufi Kutsujoku no Dai Saikutsu-jō"" (Japanese: 生き地獄 ルフィ屈辱の大採掘場)",Yutaka Nakashima,Shōji Yonemura,Shūichi Itō,"January 5, 2020",,,,,,
917,26,"""The Holyland in Tumult! Emperor of the Sea Blackbeard Cackles!"" Transliteration: ""Seichi Gekidō – Futeki ni Warau Yonkō Kurohige"" (Japanese: 聖地激動 不敵に笑う四皇黒ひげ)",Aya Komaki,Hitoshi Tanaka,Kenji Yokoyama,"January 12, 2020",,,,,,
918,27,"""It's On! The Special Operation to Bring Down Kaido!"" Transliteration: ""Ugokidasu – Datō Kaidō Daikeikaku!"" (Japanese: 動き出す 打倒カイドウ大計画！)",Masahiro Hosoda,Akiko Inoue,Kazuya Hisada,"January 19, 2020",,,,,,
919,28,"""Rampage! The Prisoners – Luffy and Kid!"" Transliteration: ""Dai Abare! Shūjin Rufi to Kiddo!"" (Japanese: 大暴れ！囚人ルフィとキッド！)",Satoshi Itō,Atsuhiro Tomioka,Kazuya Hisada,"January 26, 2020",,,,,,
920,29,"""A Great Sensation! Sanji's Special Soba!"" Transliteration: ""Dai Hyōban! Sanji no Ohako Soba!"" (Japanese: 大評判！サンジの十八番そば！)",Yutaka Nakashima,Shinzō Fujita,Keita Saitō & Toshio Deguchi,"February 2, 2020",,,,,,
921,30,"""Luxurious and Gorgeous! Wano's Most Beautiful Woman – Komurasaki!"" Transliteration: ""Gōka Kenran – Wano Kuni Ichi no Bijo: Komurasaki"" (Japanese: 豪華絢爛 ワノ国一の美女・小紫)",Directed by : Yasunori Koyama Storyboarded by : Hiroshi Hara,Tomohiro Nakayama,Masahiro Kitazaki,"February 9, 2020",,,,,,
922,31,"""A Tale of Chivalry! Zoro and Tonoyasu's Little Trip!"" Transliteration: ""Ninkyō Den! Zoro to Tonoyasu Futari-tabi!"" (Japanese: 任侠伝！ゾロとトの康二人旅！)",Yusuke Suzuki,Ryo Yamazaki,Masayuki Takagi,"February 16, 2020",,,,,,
923,32,"""A State of Emergency! Big Mom Closes in!"" Transliteration: ""Kinkyū Jitai – Biggu Mamu Dai Sekkin!"" (Japanese: 緊急事態 ビッグ・マム大接近！)",Directed by : Katsumi Tokoro Storyboarded by : Akitaro Daichi,Shōji Yonemura,Masahiro Shimanuki,"February 23, 2020",,,,,,
924,33,"""The Capital in an Uproar! Another Assassin Targets Sanji!"" Transliteration: ""Miyako Sōzen! Sanji Nerau Aratana Shikaku"" (Japanese: 都騒然！サンジ狙う新たな刺客)",Tasuku Shimaya,Hitoshi Tanaka,Eisaku Inoue & Kimitaka Itō,"March 15, 2020",,,,,,
925,34,"""Dashing! The Righteous Soba Mask!"" Transliteration: ""Dai Katsuyaku! Masayoshi no O-Soba Masuku!"" (Japanese: 大活躍！正義のおそばマスク！)",Midori Tanaka,Akiko Inoue,Kenji Yokoyama,"March 22, 2020",,,,,,
926,35,"""A Desperate Situation! Orochi's Menacing Oniwabanshu!"" Transliteration: ""Zettai Zetsumei – Kyōi no Orochi Oniwabanshū"" (Japanese: 絶体絶命 脅威のオロチお庭番衆)",Ryōsuke Tanaka,Shinzō Fujita,Shūichi Itō,"March 29, 2020",,,,,,
927,36,"""Pandemonium! The Monster Snake, Shogun Orochi!"" Transliteration: ""Shura-jō! Osoreru Daija – Shōgun Orochi"" (Japanese: 修羅場！怒れる大蛇 将軍オロチ)",Satoshi Itō,Atsuhiro Tomioka,Shigefumi Shingaki & Keiichi Ichikawa,"April 5, 2020",,,,,,
928,37,"""The Flower Falls! The Final Moment of the Most Beautiful Woman in the Land of Wano!"" Transliteration: ""Hana Chiru! Wano Kuni Ichi no Bijo no Saigo"" (Japanese: 花散る！ワノ国一の美女の最期)",Katsumi Tokoro,Tomohiro Nakayama,Kazuya Hisada,"April 12, 2020",,,,,,
929,38,"""The Bond Between Prisoners! Luffy and Old Man Hyo!"" Transliteration: ""Shūjin no Kizuna – Rufi to Hyōjii!"" (Japanese: 囚人の絆 ルフィとヒョウじい！)",Yasunori Koyama,Ryo Yamazaki,Eisaku Inoue,"April 19, 2020",,,,,,
930,39,"""A Lead Performer! Queen the Plague Emerges!"" Transliteration: ""Ōkanban! Ekisai no Kuīn Arawaru"" (Japanese: 大看板! 疫災のクイーン現る！)",Yusuke Suzuki,Shōji Yonemura,Masahiro Shimanuki,"June 28, 2020[8][n 4]",,,,,,
931,40,"""Climb Up! Luffy's Desperate Escape!"" Transliteration: ""Yojinobore – Rufi Kesshi no Tōsō-geki!"" (Japanese: よじ登れ ルフィ決死の逃走劇！)",Yutaka Nakashima,Akiko Inoue,Yūsuke Isōchi,"July 5, 2020",,,,,,
932,41,"""Dead or Alive! Queen's Sumo Inferno!"" Transliteration: ""Sei ka Shi ka – Kuīn no Ōzumō Inferuno"" (Japanese: 生か死か クイーンの大相撲地獄（インフェルノ）)",Masahiro Hosoda,Hitoshi Tanaka,Masayuki Takagi,"July 12, 2020",,,,,,
933,42,"""Gyukimaru! Zoro Fights a Duel on Bandit's Bridge!"" Transliteration: ""Gyūkimaru! Zoro Oihagi-bashi no Kettō"" (Japanese: 牛鬼丸！ゾロおいはぎ橋の決闘)",Aya Komaki,Shinzō Fujita,Toshio Deguchi & Midori Matsuda,"July 19, 2020",,,,,,
934,43,"""A Big Turnover! The Three-Sword Style Overcomes Danger!"" Transliteration: ""Dai-Gyakuten! Shisen o Koeta Santōryū"" (Japanese: 大逆転！死線を越えた三刀流！)",Tatsuya Nagamine,Tomohiro Nakayama,Midori Matsuda & Keita Saitō,"July 26, 2020",,,,,,
935,44,"""Zoro, Stunned! The Shocking Identity of the Mysterious Woman!"" Transliteration: ""Zoro Kyōgaku – Shōgeki! Nazo no Bijo no Shōtai"" (Japanese: ゾロ驚愕 衝撃! 謎の美女の正体)",Kenichi Takeshita,Ryo Yamazaki,Kenji Yokoyama,"August 2, 2020",,,,,,
936,45,"""Get the Hang of It! The Land of Wano's Haki – Ryuo!"" Transliteration: ""Etoku Seyo – Wano Kuni no Haki, Ryūō!"" (Japanese: 会得せよ ワノ国の覇気・流桜！)",Tasuku Shimaya,Shōji Yonemura,Shigefumi Shingaki,"August 9, 2020",,,,,,
937,46,"""Tonoyasu! Ebisu Town's Most Loved!"" Transliteration: ""Tonoyasu! Ebisu-chō ichi no Ninkimono!"" (Japanese: トの康！えびす町一の人気者！)",Satoshi Itō,Akiko Inoue,Kazuya Hisada,"August 16, 2020",,,,,,
938,47,"""Shaking the Nation! The Identity of Ushimitsu Kozo The Chivalrous Thief!"" Transliteration: ""Shōgeki Hashiru – Gizoku Ushimitsu Kozō no Shōtai"" (Japanese: 衝撃走る 義賊丑三つ小僧の正体)",Yasunori Koyama,Shinzō Fujita,Shūichi Itō,"August 23, 2020",,,,,,
939,48,"""The Straw Hats Run! Save the Captive Tonoyasu!"" Transliteration: ""Ichimi Hashiru! Sukue Toraware no Tonoyasu"" (Japanese: 一味疾る！救え囚われのトの康)",Yusuke Suzuki,Hitoshi Tanaka,Masahiro Shimanuki,"August 30, 2020",,,,,,
940,49,"""Zoro's Fury! The Truth About the Smile!"" Transliteration: ""Zoro no Ikari – Sumairu no Shinjitsu!"" (Japanese: ゾロの怒り SMILEの真実！)",Yutaka Nakashima,Tomohiro Nakayama,Eisaku Inoue & Kimitaka Itō,"September 6, 2020",,,,,,
941,50,"""Toko's Tears! Orochi's Pitiless Bullets!"" Transliteration: ""Toko no Namida! Orochi Hijō no Jūdan!"" (Japanese: トコの涙！オロチ非情の銃弾！)",Katsumi Tokoro,Ryo Yamazaki,Masayuki Takagi,"September 13, 2020",,,,,,
942,51,"""The Straw Hats Step In! An Uproarious Deadly Battle at the Execution Ground!"" Transliteration: ""Ichimi Ran'nyū! Sōzen! Shokei-jō no Gekitō"" (Japanese: 一味乱入！騒然！処刑場の激闘)",Kōhei Kureta,Shōji Yonemura,Toshio Deguchi & Keita Saitō,"September 20, 2020",,,,,,
943,52,"""Luffy's Determination! Win Through the Sumo Inferno!"" Transliteration: ""Rufi no Ketsui – Yabure Ōzumō Inferuno!"" (Japanese: ルフィの決意 破れ大相撲地獄（インフェルノ）！)",Tasuku Shimaya,Akiko Inoue,Shigefumi Shingaki,"September 27, 2020",,,,,,
944,53,"""The Storm Has Come! A Raging Big Mom!"" Transliteration: ""Arashi Tōrai! Ō-abare Biggu Mamu!"" (Japanese: 嵐到来！大暴れビッグ・マム！)",Masahiro Hosoda,Shinzō Fujita,Kenji Yokoyama,"October 4, 2020",,,,,,
945,54,"""A Grudge Over Red-bean Soup! Luffy Gets into a Desperate Situation!"" Transliteration: ""Oshiruko no Urami – Rufi Zettai Zetsumei"" (Japanese: おしるこの恨み ルフィ絶体絶命)",Yusuke Suzuki,Hitoshi Tanaka,Kazuya Hisada,"October 11, 2020",,,,,,
946,55,"""Stop the Emperor of the Sea! Queen's Secret Plan!"" Transliteration: ""Yonkō o Tomero! Kuīn no Hisaku"" (Japanese: 四皇を止めろ！クイーンの秘策)",Yutaka Nakashima,Tomohiro Nakayama,Yong-Ce Tu,"October 18, 2020",,,,,,
947,56,"""Brutal Ammunition! The Plague Rounds Aim at Luffy!"" Transliteration: ""Saikyō Heiki! Rufi o Nerau Ekisaito Dan"" (Japanese: 最凶兵器！ルフィを狙う疫災弾)",Directed by : Takuhito Satō Storyboarded by : Akitaro Daichi,Ryo Yamazaki,Ippei Masui & Kaon'nuri,"October 25, 2020",,,,,,
948,57,"""Start Fighting Back! Luffy and the Akazaya Samurai!"" Transliteration: ""Hangeki Kaishi! Rufi to Akazaya no Samurai!"" (Japanese: 反撃開始！ルフィと赤鞘の侍！)",Yutaka Nakashima,Shōji Yonemura,Shūichi Itō,"November 1, 2020",,,,,,
949,58,"""We're Here to Win! Luffy's Desperate Scream!"" Transliteration: ""Kachi ni Kita! Rufi Kesshi no Sakebi"" (Japanese: 勝ちに来た！ルフィ決死の叫び)",Kenichi Takeshita,Atsuhiro Tomioka,Kimitaka Itō & Toshio Deguchi,"November 8, 2020",,,,,,
950,59,"""Warriors' Dream! Luffy's Conquer of Udon!"" Transliteration: ""Tsuwamono-domo ga Yume! Rufi Udon Seiatsu!"" (Japanese: 兵どもが夢！ルフィ兎丼制圧！)",Yasunori Koyama,Akiko Inoue,Masahiro Shimanuki,"November 15, 2020",,,,,,
951,60,"""Orochi's Hunting Party! The Ninja Group vs. Zoro!"" Transliteration: ""Orochi no Otte! Ninja Gundan tai Zoro"" (Japanese: オロチの追手！忍者軍団VSゾロ)",Satoshi Itō,Shinzō Fujita,Masayuki Takagi,"November 22, 2020",,,,,,
952,61,"""Tension Rises in Onigashima! Two Emperors of the Sea Meet?!"" Transliteration: ""Onigashima Kinpaku! Sōgū!? Futari no Yonkō"" (Japanese: 鬼ヶ島緊迫！遭遇!? 二人の四皇)",Katsumi Tokoro,Hitoshi Tanaka,Shigefumi Shingaki,"November 29, 2020",,,,,,
953,62,"""Hiyori's Confession! A Reunion at Bandit's Bridge!"" Transliteration: ""Hiyori no Kokuhaku! Oihagi-bashi no Saikai"" (Japanese: 日和の告白！おいはぎ橋の再会)",Directed by : Ryōsuke Tanaka Storyboarded by : Yutaka Nakashima,Tomohiro Nakayama,Keita Saitō,"December 6, 2020",,,,,,
954,63,"""Its Name is Enma! Oden's Great Swords!"" Transliteration: ""Sono Na wa Enma! Oden no Meitō!"" (Japanese: その名は閻魔！おでんの名刀！)",Kōhei Kureta,Tomohiro Nakayama,Kazuya Hisada,"December 13, 2020",,,,,,
955,64,"""A New Alliance?! Kaido's Army Gathers!"" Transliteration: ""Arata na Dōmei!? Kaidō-gun Dai Shūketsu"" (Japanese: 新たな同盟!? カイドウ軍大集結)",Tasuku Shimaya,Shōji Yonemura,Kenji Yokoyama,"December 20, 2020",,,,,,
956,65,"""Ticking Down to the Great Battle! The Straw Hats Go into Combat Mode!"" Transliteration: ""Semaru Kessen! Mugiwara Ichimi Sentō Taisei"" (Japanese: 迫る決戦！麦わら一味戦闘態勢)",Directed by : Nanami Michibata Storyboarded by : Tatsuya Nagamine,Akiko Inoue,Midori Matsuda & Toshio Deguchi,"December 27, 2020",,,,,,
957,66,"""Big News! An Incident That Will Affect the Seven Warlords!"" Transliteration: ""Biggu Nyūsu! Shichibukai o Osou Jiken"" (Japanese: 大ニュース！七武海を襲う事件)",Megumi Ishitani,Shinzō Fujita,Eisaku Inoue & Kimitaka Itō,"January 10, 2021",,,,,,
958,67,"""A Legendary Battle! Garp and Roger!"" Transliteration: ""Densetsu no Tatakai! Gāpu to Rojā"" (Japanese: 伝説の戦い！ガープとロジャー)",Directed by : Hikaru Takeuchi Storyboarded by : Yutaka Nakashima,Hitoshi Tanaka,Ippei Masui,"January 17, 2021",,,,,,
959,68,"""The Rendezvous Port! The Land of Wano Act Three Begins!"" Transliteration: ""Yakusoku no Minato! Wano Kuni-hen Daisanmaku Kaimaku"" (Japanese: 約束の港！ワノ国編第三幕開幕)",Yusuke Suzuki,Tomohiro Nakayama,Shūichi Itō,"January 24, 2021",,,,,,
960,69,"""The Number-One Samurai in the Land of Wano! Here comes Kozuki Oden!"" Transliteration: ""Wano Kuni Ichi no Samurai! Kōzuki Oden Tōjō"" (Japanese: ワノ国一の侍！光月おでん登場)",Aya Komaki,Shōji Yonemura,Masayuki Takagi,"January 31, 2021",,,,,,
961,70,"""Tearfully Swearing Allegiance! Oden and Kin'emon!"" Transliteration: ""Namida no Deshiiri – Oden to Kin'emon"" (Japanese: 涙の弟子入り おでんと錦えもん)",Toshinori Fukuzawa,Ryo Yamazaki,Yūsuke Isōchi,"February 7, 2021",,,,,,
962,71,"""Changing Destiny! The Whitebeard Pirates Cast Ashore!"" Transliteration: ""Ugoku Unmei Hyōchaku! Shirohige Kaizokudan!"" (Japanese: 動く運命 漂着！白ひげ海賊団！)",Yasunori Koyama,Atsuhiro Tomioka,Masahiro Shimanuki,"February 14, 2021",,,,,,
963,72,"""Oden's Determination! Whitebeard's Test!"" Transliteration: ""Oden no Ketsui! Shirohige no Shiren!"" (Japanese: おでんの決意！白ひげの試練！)",Satoshi Itō,Akiko Inoue,Shigefumi Shingaki & Yong-Ce Tu,"February 21, 2021",,,,,,
964,73,"""Whitebeard's Little Brother! Oden's Great Adventure!"" Transliteration: ""Shirohige no Otōto! Oden no Dai Bōken!"" (Japanese: 白ひげの弟！おでんの大冒険！)",Yutaka Nakashima,Shinzō Fujita,Toshio Deguchi & Keita Saitō,"February 28, 2021",,,,,,
965,74,"""Crossing Swords! Roger and Whitebeard!"" Transliteration: ""Majieru Yaiba! Rojā to Shirohige!"" (Japanese: 交える刃！ロジャーと白ひげ！)",Kenichi Takeshita,Hitoshi Tanaka,Kazuya Hisada,"March 7, 2021",,,,,,
966,75,"""Roger's Wish! A New Journey!"" Transliteration: ""Rojā no Negai! Arata na Tabidachi"" (Japanese: ロジャーの願い！新たな旅立ち)",Tasuku Shimaya,Tomohiro Nakayama,Eisaku Inoue & Kimitaka Itō,"March 21, 2021",,,,,,
967,76,"""Devoting His Life! Roger's Adventure!"" Transliteration: ""Shōgai o Kakete! Rojā no Bōken"" (Japanese: 生涯をかけて！ロジャーの冒険)",Masahiro Hosoda,Shōji Yonemura,Kenji Yokoyama,"March 28, 2021",,,,,,
968,77,"""The King of the Pirates is Born! Arriving at the Last Island!"" Transliteration: ""Kaizoku Ō Tanjō – Tōtatsu! ""Saigo no Shima"""" (Japanese: 海賊王誕生 到達！""最後の島"")",Katsumi Tokoro,Ryo Yamazaki,Shūichi Itō,"April 4, 2021",,,,,,
969,78,"""To the Land of Wano! The Roger Pirates Disband!"" Transliteration: ""Wano Kuni e! Rojā Kaizokudan Kaisan"" (Japanese: ワノ国へ！ロジャー海賊団解散)",Directed by : Takaaki Ishiyama Storyboarded by : Yutaka Nakashima,Atsuhiro Tomioka,Ippei Masui & Han Eunmi,"April 11, 2021",,,,,,
970,79,"""Sad News! The Opening of the Great Pirate Era!"" Transliteration: ""Kanashiki Shirase – Dai Kaizoku Jidai Makuake"" (Japanese: 悲しき知らせ 大海賊時代幕開け)",Yusuke Suzuki,Akiko Inoue,Masayuki Takagi,"April 18, 2021",,,,,,
971,80,"""Raid! Oden and the Akazaya Nine!"" Transliteration: ""Uchiiri! Oden to Akazaya Kunin Otoko"" (Japanese: 討ち入り！おでんと赤鞘九人男)",Yasunori Koyama,Shinzō Fujita,Masahiro Shimanuki,"April 25, 2021",,,,,,
972,81,"""The End of the Battle! Oden vs. Kaido!"" Transliteration: ""Ketchaku no Toki! Oden tai Kaidō!"" (Japanese: 決着の時！おでんVSカイドウ！)",Directed by : Ryōsuke Tanaka Storyboarded by : Aya Komaki,Hitoshi Tanaka,Yong-Ce Tu,"May 2, 2021",,,,,,
973,82,"""Boiled to Death! Oden's One-hour Struggle!"" Transliteration: ""Kamayude no Kei – Oden Kesshi no Ichijikan"" (Japanese: 釜茹での刑 おでん決死の一時間)",Satoshi Itō,Tomohiro Nakayama,Shigefumi Shingaki,"May 9, 2021",,,,,,
974,83,"""Oden Wouldn't Be Oden If It Wasn't Boiled!"" Transliteration: ""〝Niete Nanbo no Oden ni Sōrō〟"" (Japanese: 〝煮えてなんぼのおでんに候〟)",Yutaka Nakashima,Shōji Yonemura,Keita Saitō & Toshio Deguchi,"May 16, 2021",,,,,,
975,84,"""The Castle on Fire! The Fate of the Kozuki Clan!"" Transliteration: ""Moeru Shiro! Kōzuki no Ichizoku no Unmei!"" (Japanese: 燃える城！光月の一族の運命！)",Katsumi Tokoro,Ryo Yamazaki,Kazuya Hisada,"May 23, 2021",,,,,,
976,85,"""Back to the Present Day! 20 Years Later!"" Transliteration: ""Futatabi Genzai! Nijū-nen no Toki o Koete"" (Japanese: 再び現在！二十年の時をこえて)",Directed by : Tasuku Shimaya Storyboarded by : Tasuku Shimaya & Yutaka Nakashima,Atsuhiro Tomioka,Eisaku Inoue & Kimitaka Itō,"May 30, 2021",,,,,,
977,86,"""The Sea Is For Pirates! Raid! To Onigashima!"" Transliteration: ""Umi wa Kaizoku! Uchiiri! Iza Onigashima"" (Japanese: 海は海賊！討入り！いざ鬼ヶ島)",Masahiro Hosoda,Akiko Inoue,Kenji Yokoyama,"June 6, 2021",,,,,,
978,87,"""The Worst Generation Charges in! The Battle of the Stormy Sea!"" Transliteration: ""Saiaku no Sedai Shingeki! Arashi no Umi no Tatakai"" (Japanese: 最悪の世代進撃！嵐の海の戦い)",Kōhei Kureta,Shinzō Fujita,Shūichi Itō & Midori Matsuda,"June 13, 2021",,,,,,
979,88,"""Good Luck?! Leader Kin'emon's Plot!"" Transliteration: ""Kyōun!? Rīdā Kin'emon no Ikkei"" (Japanese: 強運!? リーダー錦えもんの一計)",Directed by : Toshihiro Maeya Storyboarded by : Toshinori Fukuzawa,Hitoshi Tanaka,Shinichi Suzuki & Song Hyeonjy,"June 20, 2021",,,,,,
980,89,"""A Tearful Promise! The Kidnapped Momonosuke!"" Transliteration: ""Namida no Yakusoku! Sarawareta Momonosuke"" (Japanese: 涙の約束！さらわれたモモの助)",Kenichi Takeshita,Tomohiro Nakayama,Masayuki Takagi & Eisaku Inoue,"June 27, 2021",,,,,,
